id,county,state,male_under_5_years,male_5_to_9_years,male_10_to_14_years,male_15_to_19_years,male_20_to_24_years,male_25_to_29_years,male_30_to_34_years,male_35_to_39_years,male_40_to_44_years,male_45_to_49_years,male_50_to_54_years,male_55_to_59_years,male_60_to_64_years,male_65_to_69_years,male_70_to_74_years,male_75_to_79_years,male_80_to_84_years,male_85_years_and_over,male_percent_under_5_years,male_percent_5_to_9_years,male_percent_10_to_14_years,male_percent_15_to_19_years,male_percent_20_to_24_years,male_percent_25_to_29_years,male_percent_30_to_34_years,male_percent_35_to_39_years,male_percent_40_to_44_years,male_percent_45_to_49_years,male_percent_50_to_54_years,male_percent_55_to_59_years,male_percent_60_to_64_years,male_percent_65_to_69_years,male_percent_70_to_74_years,male_percent_75_to_79_years,male_percent_80_to_84_years,male_percent_85_years_and_over,female_under_5_years,female_5_to_9_years,female_10_to_14_years,female_15_to_19_years,female_20_to_24_years,female_25_to_29_years,female_30_to_34_years,female_35_to_39_years,female_40_to_44_years,female_45_to_49_years,female_50_to_54_years,female_55_to_59_years,female_60_to_64_years,female_65_to_69_years,female_70_to_74_years,female_75_to_79_years,female_80_to_84_years,female_85_years_and_over,female_percent_under_5_years,female_percent_5_to_9_years,female_percent_10_to_14_years,female_percent_15_to_19_years,female_percent_20_to_24_years,female_percent_25_to_29_years,female_percent_30_to_34_years,female_percent_35_to_39_years,female_percent_40_to_44_years,female_percent_45_to_49_years,female_percent_50_to_54_years,female_percent_55_to_59_years,female_percent_60_to_64_years,female_percent_65_to_69_years,female_percent_70_to_74_years,female_percent_75_to_79_years,female_percent_80_to_84_years,female_percent_85_years_and_over
0500000US01083,Limestone,Alabama,3042,2678,3222,2938,3103,3402,2758,3119,3755,4078,3346,3353,2863,2383,2239,1190,991,500,6.2,5.5,6.6,6,6.3,6.9,5.6,6.4,7.7,8.3,6.8,6.8,5.8,4.9,4.6,2.4,2,1,2894,2863,3134,4587,2013,2780,3346,2780,3446,2973,3763,2731,3668,2580,2542,1412,1649,794,5.8,5.7,6.3,9.2,4,5.6,6.7,5.6,6.9,6,7.5,5.5,7.3,5.2,5.1,2.8,3.3,1.6
0500000US01089,Madison,Alabama,10651,11002,12022,11710,12640,13479,13201,14084,8849,10908,11908,12716,12556,8541,6969,3864,3059,2893,5.9,6.1,6.6,6.5,7,7.4,7.3,7.8,4.9,6,6.6,7,6.9,4.7,3.8,2.1,1.7,1.6,11209,9322,13643,11528,12046,13007,12993,13646,9477,12214,13174,13608,13426,8901,9283,5988,4416,3976,5.8,4.9,7.1,6,6.3,6.8,6.8,7.1,4.9,6.4,6.9,7.1,7,4.6,4.8,3.1,2.3,2.1
0500000US01095,Marshall,Alabama,2392,3024,3472,2749,3092,3075,3046,2481,3578,2885,2907,2988,3376,2369,2217,1706,587,431,5.2,6.5,7.5,5.9,6.7,6.6,6.6,5.3,7.7,6.2,6.3,6.4,7.3,5.1,4.8,3.7,1.3,0.9,4449,3300,2991,3957,2592,2902,3076,2670,2678,2978,3238,3035,3106,2872,2335,1442,1553,1225,8.8,6.5,5.9,7.9,5.1,5.8,6.1,5.3,5.3,5.9,6.4,6,6.2,5.7,4.6,2.9,3.1,2.4
0500000US01097,Mobile,Alabama,13469,11570,15031,13732,12769,15102,13180,10879,12329,11593,11111,12582,13260,11269,7616,4985,3497,2336,6.9,5.9,7.7,7,6.5,7.7,6.7,5.5,6.3,5.9,5.7,6.4,6.8,5.7,3.9,2.5,1.8,1.2,13975,13459,12786,12648,13318,14980,15253,11089,14993,12481,13875,14793,14944,11485,10106,6531,5331,4853,6.4,6.2,5.9,5.8,6.1,6.9,7,5.1,6.9,5.8,6.4,6.8,6.9,5.3,4.7,3,2.5,2.2
0500000US01101,Montgomery,Alabama,7524,6489,9095,7730,7322,8217,7973,6117,7148,6116,5919,5367,7061,5458,3910,3399,1073,911,7,6.1,8.5,7.2,6.9,7.7,7.5,5.7,6.7,5.7,5.5,5,6.6,5.1,3.7,3.2,1,0.9,6880,8040,6392,7505,8199,8552,8162,6751,8637,7562,6727,8032,7363,7289,4563,4178,2538,2287,5.7,6.7,5.3,6.3,6.9,7.1,6.8,5.6,7.2,6.3,5.6,6.7,6.2,6.1,3.8,3.5,2.1,1.9
0500000US01103,Morgan,Alabama,3595,3911,3732,4499,3552,3286,2778,3217,3695,4394,4650,4097,3971,2867,2369,2114,1263,893,6.1,6.6,6.3,7.6,6,5.6,4.7,5.5,6.3,7.5,7.9,7,6.7,4.9,4,3.6,2.1,1.5,3760,2919,3137,4238,3874,3049,2646,4168,4256,4435,3813,3742,4589,4068,2747,2229,1585,1541,6.2,4.8,5.2,7,6.4,5,4.4,6.9,7,7.3,6.3,6.2,7.5,6.7,4.5,3.7,2.6,2.5
0500000US01115,St. Clair,Alabama,2289,2169,3440,3050,1858,3439,3478,2717,2753,2599,3231,2761,3088,2640,1388,1068,568,720,5.3,5,8,7.1,4.3,8,8,6.3,6.4,6,7.5,6.4,7.1,6.1,3.2,2.5,1.3,1.7,2716,3464,2223,2677,2765,2426,3093,2924,2910,2907,2965,4619,2532,3149,1678,1193,1696,319,5.9,7.5,4.8,5.8,6,5.2,6.7,6.3,6.3,6.3,6.4,10,5.5,6.8,3.6,2.6,3.7,0.7
0500000US01117,Shelby,Alabama,5672,6602,8542,6799,6438,6036,7056,7533,7559,6925,6843,7455,5828,5040,5272,2315,2018,1225,5.4,6.3,8.1,6.5,6.1,5.7,6.7,7.2,7.2,6.6,6.5,7.1,5.5,4.8,5,2.2,1.9,1.2,6016,6662,7664,7448,6638,6356,7839,7350,7477,7986,7400,8069,6271,6383,5342,2978,3154,1511,5.3,5.9,6.8,6.6,5.9,5.6,7,6.5,6.6,7.1,6.6,7.2,5.6,5.7,4.7,2.6,2.8,1.3
0500000US01121,Talladega,Alabama,2672,1966,3356,2906,2276,2489,2797,2195,1955,2799,2322,2546,2759,1826,1960,684,1681,431,6.7,5,8.5,7.3,5.7,6.3,7.1,5.5,4.9,7.1,5.9,6.4,7,4.6,4.9,1.7,4.2,1.1,1904,1673,2248,2819,2637,2325,1888,2210,3276,2748,2609,2686,3306,3427,1483,1180,1388,551,4.7,4.1,5.6,7,6.5,5.8,4.7,5.5,8.1,6.8,6.5,6.7,8.2,8.5,3.7,2.9,3.4,1.4
0500000US01125,Tuscaloosa,Alabama,5864,4738,7605,10228,10587,8578,6532,6445,5255,6053,5122,5266,6049,4510,3765,2546,889,870,5.8,4.7,7.5,10.1,10.5,8.5,6.5,6.4,5.2,6,5.1,5.2,6,4.5,3.7,2.5,0.9,0.9,6416,7248,4273,12030,8777,8282,6845,5923,7518,6622,5940,6448,5858,5577,3987,3295,1843,1571,5.9,6.7,3.9,11.1,8.1,7.6,6.3,5.5,6.9,6.1,5.5,5.9,5.4,5.1,3.7,3,1.7,1.4
0500000US01127,Walker,Alabama,2067,2031,2142,2115,1707,2090,1569,2082,1181,1896,2745,1831,2721,1672,1582,897,686,472,6.6,6.5,6.8,6.7,5.4,6.6,5,6.6,3.8,6,8.7,5.8,8.6,5.3,5,2.8,2.2,1.5,1507,1499,2069,1786,2021,1819,1581,1828,2085,2023,2105,2614,2395,1776,2013,961,813,1140,4.7,4.7,6.5,5.6,6.3,5.7,4.9,5.7,6.5,6.3,6.6,8.2,7.5,5.5,6.3,3,2.5,3.6
