id,county,state,total_pop,white,prop_white,black,prop_black,asian,prop_asian,am_in_alask,prop_am_in_alask,hawaii_pi,prop_hawaii_pi,other,prop_other
0500000US01003,Baldwin,Alabama,223234,190912,85.52102278326778,18338,8.214698477830439,2160,0.9675945420500461,2428,1.0876479389340334,0,0,4685,2.0986946432891047
0500000US01015,Calhoun,Alabama,113605,82323,72.46424013027595,25226,22.205008582368734,225,0.19805466308701203,201,0.17692883235773071,85,0.07482065049953787,3186,2.8044540293120903
0500000US01043,Cullman,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US01049,DeKalb,Alabama,71513,59305,82.92897794806538,688,0.9620628417210857,17,0.02377190161229427,792,1.10749094570218,339,0.47403968509222105,8327,11.644036748563199
0500000US01051,Elmore,Alabama,81209,61634,75.89552882069721,17768,21.879348348089497,884,1.088549298723048,204,0.2512036843207034,0,0,216,0.26598037163368593
0500000US01055,Etowah,Alabama,102268,79988,78.21410411859037,16040,15.684280517855049,796,0.7783470880431806,290,0.2835686627292995,12,0.011733875699143427,3207,3.1358782805960805
0500000US01069,Houston,Alabama,105882,71582,67.60544757371414,29736,28.08409361364538,946,0.8934474226025199,93,0.08783362611208705,120,0.11333371111237037,1502,1.418560284089836
0500000US01073,Jefferson,Alabama,658573,341788,51.898270958572546,285001,43.2755366527325,11523,1.7496921373940322,1846,0.28030301879973823,0,0,9081,1.3788904191334903
0500000US01077,Lauderdale,Alabama,92729,79178,85.38644868379903,10533,11.358906059593007,117,0.12617412028599467,224,0.24156412772703253,0,0,620,0.6686149963873222
0500000US01081,Lee,Alabama,164542,116738,70.94723535632241,37396,22.727327977051452,7191,4.370312746897449,586,0.356140073659005,0,0,197,0.11972627049628666
0500000US01083,Limestone,Alabama,98915,77744,78.59677500884598,13999,14.152555224182379,1695,1.7135924783905374,435,0.4397715210028813,80,0.08087752110397817,2831,2.862053278067027
0500000US01089,Madison,Alabama,372909,250321,67.12656438970366,92197,24.723726163755767,10309,2.7644814150369124,2331,0.6250854766176198,132,0.03539737576727835,7659,2.0538522803150365
0500000US01095,Marshall,Alabama,96774,90252,93.26058652117304,3820,3.9473412280157896,593,0.6127678922024511,71,0.07336681340029347,0,0,1222,1.262735858805051
0500000US01097,Mobile,Alabama,413210,240449,58.190508458168964,150159,36.33963360034849,7779,1.8825778659761379,2915,0.7054524333873817,61,0.014762469446528401,3449,0.8346845429684663
0500000US01101,Montgomery,Alabama,226486,78586,34.69795042519184,132115,58.33252386460973,7273,3.2112360145880983,816,0.3602871700679071,0,0,3458,1.5268051888416945
0500000US01103,Morgan,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US01115,St. Clair,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US01117,Shelby,Alabama,217702,173941,79.89866882251886,27252,12.518029232620739,4070,1.8695280704816675,1555,0.7142791522356249,0,0,4958,2.2774251040413045
0500000US01121,Talladega,Alabama,79978,50787,63.501212833529216,26486,33.11660706694341,413,0.5163920078021457,385,0.4813823801545425,133,0.1662957313261147,164,0.20505639050738952
0500000US01125,Tuscaloosa,Alabama,209355,134432,64.2124620859306,68660,32.795968570132075,3491,1.6675025674094242,87,0.04155620835423085,125,0.05970719591125122,1053,0.5029734183563803
0500000US01127,Walker,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US02020,Anchorage Municipality,Alaska,288000,180389,62.63506944444445,15207,5.280208333333333,25976,9.019444444444444,25556,8.873611111111112,8041,2.792013888888889,6490,2.2534722222222223
0500000US02090,Fairbanks North Star,Alaska,96849,73145,75.5247860070832,3962,4.090904397567347,3173,3.276234137678241,8955,9.246352569463804,117,0.12080661648545674,1241,1.2813761628927505
0500000US02170,Matanuska-Susitna,Alaska,108317,88690,81.88003729793107,1699,1.568544180507215,1681,1.5519262904253257,8489,7.837181605842111,326,0.3009684537053279,416,0.3840579041147742
0500000US04001,Apache,Arizona,71887,15109,21.017708347823667,721,1.0029629835714384,160,0.2225715358827048,53480,74.39453586879408,15,0.020866081489003575,1127,1.5677382558738018
0500000US04003,Cochise,Arizona,125922,108177,85.90794301234097,6163,4.894299645812487,2795,2.2196280236972092,1006,0.7989072600498722,129,0.10244437032448658,2141,1.7002588904242308
0500000US04005,Coconino,Arizona,143476,91649,63.877582313418266,1364,0.9506816471047422,2730,1.9027572555688754,37187,25.91862053583875,419,0.29203490479243915,3897,2.716133708773593
0500000US04013,Maricopa,Arizona,4485414,3547155,79.08199778214453,266128,5.933186992326684,192301,4.287251968268704,93358,2.0813686317472593,10045,0.22394811270486958,213953,4.7699721809402655
0500000US04015,Mohave,Arizona,212181,188756,88.95989744604842,1496,0.7050584171061499,1923,0.906301695250753,4358,2.0539068059816854,138,0.06503881120364217,7608,3.5856179394007945
0500000US04017,Navajo,Arizona,110924,51262,46.21362374238217,1309,1.1800872669575566,193,0.17399300421910496,50892,45.88006202444917,136,0.1226064692942916,3817,3.441094803649346
0500000US04019,Pima,Arizona,1047279,795391,75.94833850387528,38343,3.661202029258679,29276,2.7954346454001273,40603,3.876999347833767,1733,0.16547643942063195,82611,7.888155878233021
0500000US04021,Pinal,Arizona,462789,366928,79.28624059776702,21264,4.594750523456694,6642,1.4352112949962077,25035,5.4095927085561675,1197,0.25864919001964176,21525,4.6511477152654885
0500000US04025,Yavapai,Arizona,235099,209030,88.91147984466119,2020,0.8592125019672563,2543,1.0816719764865015,4526,1.9251464276751495,51,0.021692988911054492,12111,5.151446837289822
0500000US04027,Yuma,Arizona,213787,189117,88.46047701684387,3244,1.5173981579796714,2388,1.1169996304733216,2900,1.3564903385145026,242,0.11319677997258953,9376,4.38567359100413
0500000US05007,Benton,Arkansas,279141,243511,87.23584138481985,4371,1.5658753103270389,10818,3.8754607886337014,4314,1.5454555224778874,1907,0.6831672882163494,5019,1.7980160564016034
0500000US05031,Craighead,Arkansas,110332,86310,78.22753145053113,18031,16.342493564876918,1527,1.3840046405394628,188,0.1703948083964761,0,0,507,0.45952216945219887
0500000US05045,Faulkner,Arkansas,126007,104065,82.58668169228693,15337,12.17154602522082,1401,1.1118429928496036,194,0.1539597006515511,0,0,1766,1.4015094399517487
0500000US05051,Garland,Arkansas,99386,86188,86.7204636467913,8275,8.326122391483711,951,0.9568752138128106,849,0.8542450646972412,0,0,633,0.6369106312760349
0500000US05069,Jefferson,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US05085,Lonoke,Arkansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0500000US05119,Pulaski,Arkansas,391911,216942,55.354914763811166,147026,37.51515012336984,8522,2.1744732860266742,1365,0.3482933625236342,289,0.07374123206544343,7095,1.8103600052052633
0500000US05125,Saline,Arkansas,122437,107328,87.65977604809004,9375,7.656999109746236,1747,1.4268562607708455,246,0.20091965663974123,0,0,632,0.5161838333183596
0500000US05131,Sebastian,Arkansas,127827,92977,72.73658929647101,8891,6.95549453558325,5647,4.417689533510135,1031,0.8065588647155921,0,0,11058,8.650754535426788
0500000US05143,Washington,Arkansas,239187,188340,78.74173763624277,9389,3.9253805599802662,6116,2.5569951544189276,2251,0.9411046586980061,6769,2.830003302855088,18738,7.834037803057859
0500000US05145,White,Arkansas,78753,71325,90.56797836272904,4524,5.744543065026094,0,0,768,0.9752009447259152,0,0,1196,1.5186723045471284
0500000US06001,Alameda,California,1671329,649209,38.8438781353043,178246,10.664925936186114,520313,31.131692204227896,12648,0.7567630310968099,13503,0.807919924802358,191329,11.447716158817324
