id,county,state,age,sex,total,percent
0500000US01055,Etowah County, Alabama,5 to 9 ,male,2911,5.9
0500000US01055,Etowah County, Alabama,10 to 14 ,male,3890,7.9
0500000US01055,Etowah County, Alabama,15 to 19 ,male,2673,5.4
0500000US01055,Etowah County, Alabama,20 to 24 ,male,2789,5.7
0500000US01055,Etowah County, Alabama,25 to 29 ,male,3366,6.8
0500000US01055,Etowah County, Alabama,30 to 34 ,male,2966,6
0500000US01055,Etowah County, Alabama,35 to 39 ,male,2751,5.6
0500000US01055,Etowah County, Alabama,40 to 44 ,male,3159,6.4
0500000US01055,Etowah County, Alabama,45 to 49 ,male,3465,7
0500000US01055,Etowah County, Alabama,50 to 54 ,male,3141,6.4
0500000US01055,Etowah County, Alabama,55 to 59 ,male,3185,6.5
0500000US01055,Etowah County, Alabama,60 to 64 ,male,3310,6.7
0500000US01055,Etowah County, Alabama,65 to 69 ,male,3040,6.2
0500000US01055,Etowah County, Alabama,70 to 74 ,male,2279,4.6
0500000US01055,Etowah County, Alabama,75 to 79 ,male,1593,3.2
0500000US01055,Etowah County, Alabama,80 to 84 ,male,1212,2.5
0500000US01055,Etowah County, Alabama,85+,male,535,1.1
0500000US01069,Houston County, Alabama,0-5 ,male,3416,6.7
0500000US01069,Houston County, Alabama,5 to 9 ,male,2982,5.9
0500000US01069,Houston County, Alabama,10 to 14 ,male,3965,7.8
0500000US01069,Houston County, Alabama,15 to 19 ,male,3377,6.7
0500000US01069,Houston County, Alabama,20 to 24 ,male,2948,5.8
0500000US01069,Houston County, Alabama,25 to 29 ,male,3432,6.8
0500000US01069,Houston County, Alabama,30 to 34 ,male,3134,6.2
0500000US01069,Houston County, Alabama,35 to 39 ,male,2631,5.2
0500000US01069,Houston County, Alabama,40 to 44 ,male,3662,7.2
0500000US01069,Houston County, Alabama,45 to 49 ,male,3171,6.3
0500000US01069,Houston County, Alabama,50 to 54 ,male,3034,6
0500000US01069,Houston County, Alabama,55 to 59 ,male,3796,7.5
0500000US01069,Houston County, Alabama,60 to 64 ,male,2968,5.9
0500000US01069,Houston County, Alabama,65 to 69 ,male,2518,5
0500000US01069,Houston County, Alabama,70 to 74 ,male,2522,5
0500000US01069,Houston County, Alabama,75 to 79 ,male,1503,3
0500000US01069,Houston County, Alabama,80 to 84 ,male,842,1.7
0500000US01069,Houston County, Alabama,85+,male,765,1.5
0500000US01073,Jefferson County, Alabama,0-5 ,male,21353,6.9
0500000US01073,Jefferson County, Alabama,5 to 9 ,male,19640,6.3
0500000US01073,Jefferson County, Alabama,10 to 14 ,male,22851,7.3
0500000US01073,Jefferson County, Alabama,15 to 19 ,male,20084,6.5
0500000US01073,Jefferson County, Alabama,20 to 24 ,male,20171,6.5
0500000US01073,Jefferson County, Alabama,25 to 29 ,male,23885,7.7
0500000US01073,Jefferson County, Alabama,30 to 34 ,male,21565,6.9
0500000US01073,Jefferson County, Alabama,35 to 39 ,male,21124,6.8
0500000US01073,Jefferson County, Alabama,40 to 44 ,male,18805,6
0500000US01073,Jefferson County, Alabama,45 to 49 ,male,18772,6
0500000US01073,Jefferson County, Alabama,50 to 54 ,male,18286,5.9
0500000US01073,Jefferson County, Alabama,55 to 59 ,male,18589,6
0500000US01073,Jefferson County, Alabama,60 to 64 ,male,20569,6.6
0500000US01073,Jefferson County, Alabama,65 to 69 ,male,17127,5.5
0500000US01073,Jefferson County, Alabama,70 to 74 ,male,11942,3.8
0500000US01073,Jefferson County, Alabama,75 to 79 ,male,6967,2.2
0500000US01073,Jefferson County, Alabama,80 to 84 ,male,5301,1.7
0500000US01073,Jefferson County, Alabama,85+,male,3867,1.2
0500000US01077,Lauderdale County, Alabama,0-5 ,male,1982,4.4
0500000US01077,Lauderdale County, Alabama,5 to 9 ,male,1999,4.5
0500000US01077,Lauderdale County, Alabama,10 to 14 ,male,3349,7.5
