year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
2020,5,29,Protests,Peaceful protest,California,Shasta,Redding,40.586,-122.39,0,0500000US06089,72714,4.9,5.9,11,7.1,12.4,16.1,14.5,14.6,7.9,5.4,63091,81663,18572,Middle
2020,5,29,Riots,Violent demonstration,California,Sacramento,Sacramento,38.58,-121.496,0,0500000US06067,556752,4.4,4,7.1,7.8,11.1,17.6,13.7,17.4,8.5,8.4,72017,93318,21301,High
2020,5,29,Protests,Peaceful protest,New Mexico,Santa Fe,Santa Fe,35.687,-105.939,0,0500000US35049,62182,6.7,4,8,10.4,12.5,17.7,12.9,13.2,6.4,8.3,61298,88182,26884,Middle
2020,5,29,Riots,Violent demonstration,Washington,King,Seattle,47.606,-122.333,0,0500000US53033,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
2020,5,29,Protests,Peaceful protest,Texas,Smith,Tyler,32.351,-95.301,0,0500000US48423,78600,5.4,3.1,11.2,8.3,13.8,19.7,13.4,15.3,5.1,4.7,59584,79183,19599,Low
2020,5,29,Protests,Protest with intervention,Massachusetts,Suffolk,Boston,42.359,-71.064,0,0500000US25025,309945,9.4,5.4,6.5,5.9,8,13.3,10.5,15.2,10.9,14.9,77558,116061,38503,Very High
2020,5,29,Protests,Peaceful protest,Colorado,Boulder,Boulder,40.015,-105.27,0,0500000US08013,131854,5.8,2.6,5.8,5,9,14.7,13.7,17,10.5,15.9,88535,125894,37359,Very High
2020,5,29,Protests,Peaceful protest,Colorado,Larimer,Fort Collins,40.585,-105.085,0,0500000US08069,146638,5,3.2,7.3,6,10.2,18,14.3,16.8,9.6,9.5,75186,98731,23545,Very High
2020,5,29,Protests,Peaceful protest,Indiana,Grant,Marion,40.558,-85.659,0,0500000US18053,27127,6.4,5.5,12.3,10.5,18.5,18.6,11.1,12,3.1,1.9,47206,60754,13548,Very Low
2020,5,29,Riots,Violent demonstration,California,Santa Clara,San Jose,37.334,-121.891,0,0500000US06085,643637,2.5,2.3,3.6,4.3,5.9,10.8,9.4,16.5,13.2,31.6,133076,180645,47569,Very High
2020,5,29,Protests,Peaceful protest,Connecticut,New Haven,New Haven,41.308,-72.928,0,0500000US09009,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,24944,High
2020,5,29,Protests,Peaceful protest,California,San Francisco,San Francisco,37.779,-122.419,0,0500000US06075,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,49999,Very High
2020,5,29,Riots,Violent demonstration,Texas,Harris,Houston,29.76,-95.364,0,0500000US48201,1647384,6.1,3.4,8.8,9.2,12.7,18.1,12,14.1,6.8,8.9,61618,92488,30870,Middle
2020,5,29,Riots,Violent demonstration,Georgia,Fulton,Atlanta,33.756,-84.39,0,0500000US13121,439578,6.3,3.4,6.7,6.3,10.2,14.4,11.3,16.1,9.1,16.2,80013,125680,45667,Very High
2020,5,29,Protests,Excessive force against protesters,California,Kern,Bakersfield,35.373,-119.019,0,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low
2020,5,29,Protests,Peaceful protest,Washington,Whatcom,Bellingham,48.76,-122.488,0,0500000US53073,88794,4.7,3.4,8.2,8.6,9.3,20,15.9,17.2,6.9,5.9,69372,84870,15498,High
2020,5,29,Riots,Violent demonstration,Illinois,Cook,Chicago,41.85,-87.65,0,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
2020,5,29,Riots,Violent demonstration,Ohio,Hamilton,Cincinnati,39.127,-84.514,0,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle
2020,5,29,Riots,Violent demonstration,Texas,Dallas,Dallas,32.779,-96.8,0,0500000US48113,940587,6.2,3.2,7.7,8.7,14.3,19.3,12.4,14.5,5.6,8.1,61796,91752,29956,Middle
2020,5,29,Riots,Violent demonstration,Iowa,Polk,Des Moines,41.586,-93.623,0,0500000US19153,197731,4,3.1,6.5,9.2,13.3,19.7,13.4,16.7,7.9,6.1,66918,87952,21034,High
2020,5,29,Riots,Violent demonstration,Michigan,Wayne,Detroit,42.335,-83.048,0,0500000US26163,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753,70465,19712,Very Low
2020,5,29,Riots,Violent demonstration,Oregon,Lane,Eugene,44.052,-123.087,0,0500000US41039,155696,6.2,5.1,10.2,10,13.6,17.4,13.2,14.7,5.1,4.5,57325,77180,19855,Low
2020,5,29,Protests,Peaceful protest,Virginia,Hampton,Hampton,37.03,-76.345,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Montana,Lewis and Clark,Helena,46.589,-112.039,0,0500000US30049,27405,3.8,4.4,12,7.5,13.1,14.8,14.4,17.9,6,6.3,67616,88558,20942,High
2020,5,29,Protests,Peaceful protest,Kansas,Geary,Junction City,39.029,-96.831,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Kansas,Wyandotte,Kansas City,39.116,-94.627,0,0500000US20209,61248,8.8,6.1,10.8,12.3,15.5,18,12.7,10.7,3.3,1.8,46964,58167,11203,Very Low
2020,5,29,Protests,Peaceful protest,Wisconsin,Kenosha,Kenosha,42.585,-87.824,0,0500000US55059,64187,3.6,3.7,8.9,9.3,11.7,20.2,13.1,18.3,6.6,4.5,65997,80630,14633,High
2020,5,29,Protests,Peaceful protest,Tennessee,Knox,Knoxville,35.96,-83.922,0,0500000US47093,191925,7.1,3.7,10.1,9.2,12.4,17.3,13.6,14.6,5.3,6.7,60283,83334,23051,Middle
2020,5,29,Protests,Peaceful protest,Kentucky,Fayette,Lexington,38.041,-84.504,0,0500000US21067,131929,6.6,3.7,10.1,8.9,12.5,18.9,12.3,14.2,6.4,6.4,58356,84149,25793,Low
2020,5,29,Protests,Peaceful protest,Oregon,Lincoln,Lincoln City,44.958,-124.018,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Riots,Violent demonstration,Kentucky,Jefferson,Louisville,38.254,-85.759,0,0500000US21111,316174,6.4,4.1,9.3,9.7,13.3,19.1,13,13.6,5.8,5.7,59049,81043,21994,Low
2020,5,29,Protests,Peaceful protest,Kansas,Riley,Manhattan,39.183,-96.571,0,0500000US20161,25662,7,5.4,14.5,8.1,13.8,21.8,9.8,11.9,4.2,3.6,50920,66449,15529,Very Low
2020,5,29,Battles,Armed clash,California,Alameda,Oakland,37.804,-122.271,1,0500000US06001,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,141427,33105,Very High
2020,5,29,Protests,Peaceful protest,Arizona,Maricopa,Phoenix,33.449,-112.074,0,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
2020,5,29,Riots,Violent demonstration,Missouri,Saint Louis City,St. Louis,38.627,-90.191,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,5,29,Protests,Peaceful protest,Mississippi,Hinds,Jackson,32.299,-90.186,0,0500000US28049,88471,9.1,5.7,13.7,9.9,15.5,20.5,9.8,9.6,3.5,2.8,44964,61797,16833,Very Low
