year,month,day,event_type,sub_event_type,state,county,city,latitude,longitude,fatalities,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
2020,6,2,Protests,Peaceful protest,Pennsylvania,Columbia,Bloomsburg,41.004,-76.455,0,0500000US42037,26219,8.3,5.6,7.1,10.6,14.7,18.2,13.4,13.6,5.3,3.1,54570,70858,16288,Very Low
2020,6,2,Protests,Peaceful protest,Florida,Palm Beach,Boca Raton,26.359,-80.083,0,0500000US12099,568915,5.2,4.1,8.1,8.4,12.4,16.3,12.2,15.6,6.7,11,66623,101876,35253,High
2020,6,2,Protests,Peaceful protest,Florida,Lee,Bonita Springs,26.34,-81.779,0,0500000US12071,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240,88514,26274,Middle
2020,6,2,Protests,Peaceful protest,Tennessee,Hamilton,Chattanooga,35.046,-85.31,0,0500000US47065,148157,5.2,4.7,9.8,9.2,14.1,18,12.5,14.4,6,6.1,57502,82222,24720,Low
2020,6,2,Protests,Protest with intervention,Ohio,Hamilton,Cincinnati,39.127,-84.514,0,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle
2020,6,2,Protests,Peaceful protest,Tennessee,Montgomery,Clarksville,36.53,-87.359,0,0500000US47125,76974,5,4.1,6.2,10.8,18.3,19.7,12.6,15.1,5.4,2.7,56948,71883,14935,Low
2020,6,2,Protests,Peaceful protest,Iowa,Johnson,Coralville,41.676,-91.58,0,0500000US19103,60782,9,3.2,7.3,10,10.6,15,12.3,16.2,6.4,10.1,66011,99179,33168,High
2020,6,2,Protests,Peaceful protest,Illinois,DeKalb,DeKalb,41.929,-88.75,0,0500000US17037,39330,8.9,1.7,9.8,8.4,9.6,18.3,13.4,16.7,7.7,5.4,64131,79542,15411,Middle
2020,6,2,Protests,Peaceful protest,Iowa,Dubuque,Dubuque,42.5,-90.665,0,0500000US19061,38345,6,4.5,7.7,7.9,13.2,19.6,14.6,16.7,4.6,5.3,62178,80313,18135,Middle
2020,6,2,Protests,Peaceful protest,Arkansas,Washington,Fayetteville,36.063,-94.157,0,0500000US05143,89249,7.5,3.7,11.6,10.5,15.9,17,10.7,13,4.2,5.7,50798,72353,21555,Very Low
2020,6,2,Protests,Peaceful protest,Missouri,Saint Louis,Ferguson,38.744,-90.305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Florida,Lee,Fort Myers,26.622,-81.841,0,0500000US12071,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240,88514,26274,Middle
2020,6,2,Protests,Peaceful protest,Florida,Alachua,Gainesville,29.652,-82.327,0,0500000US12001,103024,11.1,4.3,11.3,9.6,14.3,15.3,10.4,13.6,4.1,6.1,49534,73143,23609,Very Low
2020,6,2,Protests,Peaceful protest,Tennessee,Shelby,Germantown,35.087,-89.81,0,0500000US47157,353950,8.1,6.1,9.8,10.3,13.2,17,11.2,12.7,4.5,7,52614,80016,27402,Very Low
2020,6,2,Protests,Peaceful protest,Michigan,Kent,Grand Rapids,42.963,-85.668,0,0500000US26081,245437,4.3,3.4,8,8.1,13.1,19.3,14.6,17.1,6.1,6.1,66532,87827,21295,High
2020,6,2,Protests,Peaceful protest,Wisconsin,Brown,Green Bay,44.519,-88.02,0,0500000US55009,107385,5.1,4.1,7.3,8.1,14.8,18.3,11.8,18.1,7.8,4.6,64458,82270,17812,Middle
2020,6,2,Protests,Protest with intervention,North Carolina,Guilford,Greensboro,36.073,-79.792,0,0500000US37081,206950,7.4,4.6,9.6,9.8,14.8,17,12.4,13.9,5.3,5.3,55328,78134,22806,Low
2020,6,2,Protests,Protest with intervention,Indiana,Lake,Hammond,41.583,-87.5,0,0500000US18089,190135,7.6,4.2,8.5,10.6,12.5,19.4,10.9,16.2,6,4.3,57081,77171,20090,Low
2020,6,2,Protests,Peaceful protest,Illinois,Madison,Highland,38.739,-89.671,0,0500000US17119,108104,5,3.4,8.8,9.4,11.2,17.2,14.1,17.6,6.5,6.8,67440,87113,19673,High
2020,6,2,Protests,Peaceful protest,Indiana,Marion,Indianapolis,39.769,-86.158,0,0500000US18097,379451,8.5,4.5,10.6,10.5,15.4,18.1,11.9,11.8,4.8,4,50458,71045,20587,Very Low
2020,6,2,Protests,Peaceful protest,Michigan,Ionia,Ionia,42.987,-85.071,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Tennessee,Madison,Jackson,35.615,-88.814,0,0500000US47113,38930,8.3,5.5,12.4,9.1,14.9,21.8,9.7,13.5,2.8,2.1,49820,61377,11557,Very Low
2020,6,2,Protests,Peaceful protest,Tennessee,Washington,Johnson City,36.313,-82.353,0,0500000US47179,55817,9.9,6.2,8.8,12,12.2,17.6,10,13.5,4.8,5,51428,73919,22491,Very Low
2020,6,2,Protests,Peaceful protest,Ohio,Montgomery,Kettering,39.69,-84.169,0,0500000US39113,224831,7.2,4,10.9,10.8,13.1,18.6,13.8,13.7,4.1,3.8,54537,72781,18244,Very Low
2020,6,2,Protests,Peaceful protest,Indiana,Tippecanoe,LaFayette,40.417,-86.875,0,0500000US18157,73916,9,3.8,13.1,9.6,15.2,17.4,10.6,13.5,3.7,4.1,49352,70167,20815,Very Low
2020,6,2,Protests,Peaceful protest,Louisiana,Calcasieu,Lake Charles,30.213,-93.204,0,0500000US22019,77232,10.3,4.6,12.1,10.2,11.3,15.3,11,14.1,5.8,5.2,51246,76975,25729,Very Low
2020,6,2,Protests,Peaceful protest,Georgia,Bibb,Macon,32.841,-83.632,0,0500000US13021,56726,10.9,6.3,10.6,13.4,14.4,14.5,10.9,10.8,4.2,4,42140,67678,25538,Very Low
2020,6,2,Protests,Peaceful protest,Florida,Miami-Dade,Miami,25.765,-80.194,0,0500000US12086,912805,8,5.3,9.8,10.3,12.2,18,11.5,12.8,5.3,6.8,55171,82803,27632,Low
2020,6,2,Protests,Peaceful protest,Arkansas,Drew,Monticello,33.629,-91.791,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Florida,Collier,Naples,26.142,-81.794,0,0500000US12021,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,121643,45618,Very High
2020,6,2,Protests,Peaceful protest,Pennsylvania,Lawrence,New Castle,41.004,-80.347,0,0500000US42073,37282,7.3,5.5,9.5,13.4,13.8,17.3,14.2,11.5,4.3,3.3,50547,68125,17578,Very Low
2020,6,2,Protests,Peaceful protest,Ohio,Licking,Newark,40.058,-82.401,0,0500000US39089,66604,4.7,4.1,7.9,9.4,10.4,19.4,13.1,17.6,6.5,6.9,66013,88327,22314,High
2020,6,2,Protests,Peaceful protest,Georgia,Coweta,Newnan,33.381,-84.8,0,0500000US13077,53640,4.4,4.6,7.1,5.6,9.6,16.8,14.6,22.1,10.3,4.9,78423,90034,11611,Very High
2020,6,2,Protests,Peaceful protest,Virginia,Norfolk,Norfolk,36.847,-76.285,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,South Carolina,Horry,North Myrtle Beach,33.825,-78.681,0,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low
2020,6,2,Protests,Peaceful protest,Oklahoma,Oklahoma,Oklahoma City,35.466,-97.513,0,0500000US40109,305493,6.8,4.6,9.5,8.9,14,18.7,12.2,13,5.8,6.5,56235,83009,26774,Low
2020,6,2,Protests,Peaceful protest,Illinois,Peoria,Peoria,40.694,-89.589,0,0500000US17143,73666,8,4.4,10.1,8.7,13.2,17.1,12.5,13.4,6,6.5,57247,82292,25045,Low
2020,6,2,Protests,Peaceful protest,Michigan,Emmet,Petoskey,45.373,-84.955,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Mississippi,Pearl River,Picayune,30.526,-89.68,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Ohio,Delaware,Powell,40.158,-83.075,0,0500000US39041,73290,2.2,1.1,5.7,5.4,7.7,11.4,11.8,22.2,12.9,19.6,107854,135296,27442,Very High
2020,6,2,Protests,Peaceful protest,Wisconsin,Sauk,Prairie du Sac,43.287,-89.724,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Riots,Violent demonstration,Illinois,Winnebago,Rockford,42.259,-89.064,0,0500000US17201,114833,6.8,4.7,9.8,9.5,12.2,18.5,12.9,16.1,6,3.5,59455,73962,14507,Low
2020,6,2,Protests,Peaceful protest,Minnesota,Ramsey,Saint Paul,44.951,-93.095,0,0500000US27123,206124,5.4,3.5,6.9,7.6,13,17.7,12.9,18.2,7.6,7,68871,90789,21918,High
2020,6,2,Protests,Peaceful protest,Florida,Sarasota,Sarasota,27.336,-82.531,0,0500000US12115,187411,3.3,3,8.2,7.8,13.5,19.9,14.6,16.1,5.6,8,66342,94576,28234,High
2020,6,2,Protests,Peaceful protest,Wisconsin,Sheboygan,Sheboygan,43.751,-87.715,0,0500000US55117,48691,3.1,3.1,7.3,9.3,16.1,23.4,15.7,13.5,4.7,3.8,60706,77648,16942,Middle
2020,6,2,Protests,Peaceful protest,Louisiana,Caddo,Shreveport,32.525,-93.75,0,0500000US22017,92589,13.4,6.9,13,9.2,11,15.3,10.1,11.8,4.4,4.7,45537,69968,24431,Very Low
2020,6,2,Protests,Peaceful protest,Iowa,Woodbury,Sioux City,42.497,-96.405,0,0500000US19193,39733,5.3,3.6,9.5,10.6,13.6,16.7,16.1,17.3,4.1,3.1,58945,71578,12633,Low
2020,6,2,Protests,Peaceful protest,Virginia,Halifax,South Boston,36.699,-78.901,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,South Carolina,Spartanburg,Spartanburg,34.95,-81.932,0,0500000US45083,121256,5.8,5.1,9.9,10,13.1,21.7,13.3,12.7,4.4,4,55339,71932,16593,Low
2020,6,2,Protests,Peaceful protest,Florida,Leon,Tallahassee,30.438,-84.28,0,0500000US12073,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low
2020,6,2,Protests,Peaceful protest,Ohio,Lucas,Toledo,41.664,-83.555,0,0500000US39095,182105,10.4,4.6,11,11.6,13,16.8,11.2,12.4,5.1,3.8,49448,70287,20839,Very Low
2020,6,2,Protests,Peaceful protest,Wisconsin,Monroe,Tomah,43.979,-90.504,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Michigan,Grand Traverse,Traverse City,44.763,-85.621,0,0500000US26055,37408,2.9,1.4,9.7,9.4,14.1,19.6,16.9,14.2,5,6.9,65266,89263,23997,High
2020,6,2,Protests,Peaceful protest,Michigan,Oakland,Troy,42.606,-83.15,0,0500000US26125,508464,3.8,3.2,6.3,7.1,9.7,15.9,13.8,17.9,9.7,12.7,81190,111724,30534,Very High
2020,6,2,Protests,Peaceful protest,Georgia,Houston,Warner Robins,32.613,-83.624,0,0500000US13153,58417,7.1,3.6,6.1,9.1,13.1,18,15.5,16.1,7.3,4.1,66740,77442,10702,High
2020,6,2,Protests,Peaceful protest,Virginia,Waynesboro,Waynesboro,38.068,-78.889,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Florida,Palm Beach,West Palm Beach,26.71,-80.064,0,0500000US12099,568915,5.2,4.1,8.1,8.4,12.4,16.3,12.2,15.6,6.7,11,66623,101876,35253,High
2020,6,2,Protests,Peaceful protest,Wisconsin,Milwaukee,Whitefish Bay,43.113,-87.9,0,0500000US55079,383665,7.4,4.9,11.3,9.2,14.3,17.8,12,14,4.8,4.1,53418,71436,18018,Very Low
2020,6,2,Riots,Violent demonstration,Kansas,Sedgwick,Wichita,37.687,-97.331,0,0500000US20173,199517,5.7,4.5,8.6,9,13.6,19.9,12.2,16.2,5.5,4.7,59716,78411,18695,Low
2020,6,2,Protests,Peaceful protest,North Carolina,New Hanover,Wilmington,34.226,-77.945,0,0500000US37129,100189,7.1,4.3,10.1,7.9,15.4,16.5,10.5,14.8,6.1,7.3,56382,82471,26089,Low
2020,6,2,Protests,Peaceful protest,North Carolina,Forsyth,Winston-Salem,36.1,-80.244,0,0500000US37067,148151,7.7,4.4,12,10.9,13.1,17.4,12.5,11.9,4.9,5.2,52017,74136,22119,Very Low
2020,6,2,Protests,Peaceful protest,Virginia,Wythe,Wytheville,36.948,-81.085,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Virginia,Brunswick,Lawrenceville,36.758,-77.847,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Virginia,Halifax,South Boston,36.699,-78.901,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Wisconsin,Wood,Wisconsin Rapids,44.384,-89.817,0,0500000US55141,32684,4,6.6,8.2,11.9,12.8,23.8,13.3,12.1,3.5,3.9,56278,73613,17335,Low
2020,6,2,Protests,Peaceful protest,Illinois,DuPage,Elmhurst,41.899,-87.94,0,0500000US17043,342195,2.6,1.8,5.1,5.4,9,15.2,12.8,21,11.8,15.4,96403,126800,30397,Very High
2020,6,2,Protests,Peaceful protest,Maryland,Anne Arundel,Crofton,39.002,-76.687,0,0500000US24003,216200,2.1,1.3,4,4.8,6.6,15.9,14.3,21.2,13.4,16.5,101147,130006,28859,Very High
2020,6,2,Protests,Peaceful protest,Maryland,Allegany,Frostburg,39.658,-78.928,0,0500000US24001,26549,8.8,5.8,11.2,11.9,13.2,19.7,14.1,10,3.7,1.7,48867,59856,10989,Very Low
2020,6,2,Protests,Peaceful protest,Maryland,Montgomery,Silver Spring,38.991,-77.026,0,0500000US24031,368897,3.4,2.1,4,5.2,6.2,12.2,12.1,18.4,12.5,23.9,110389,150841,40452,Very High
2020,6,2,Protests,Peaceful protest,Michigan,Gogebic,Ironwood,46.455,-90.171,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Texas,Denton,Flower Mound,33.032,-97.079,0,0500000US48121,305164,2.9,1.8,4.4,5.3,8.6,17.5,13.9,20.1,11.2,14.4,90523,119046,28523,Very High
2020,6,2,Protests,Peaceful protest,South Carolina,Lexington,Red Bank,33.91,-81.204,0,0500000US45063,118193,4.9,4.1,9.6,8.5,13.7,16.8,14.1,15,6.9,6.4,61631,83728,22097,Middle
2020,6,2,Protests,Peaceful protest,Tennessee,Maury,Spring Hill,35.751,-86.93,0,0500000US47119,37104,3.8,4.9,6.3,9.4,11.9,20.1,17.1,15.6,7.1,3.7,66781,80635,13854,High
2020,6,2,Protests,Peaceful protest,New Jersey,Monmouth,Freehold,40.26,-74.274,0,0500000US34025,240377,4.4,2.4,4.8,6.3,6.7,12.2,11.4,19.5,11.7,20.7,102870,143028,40158,Very High
2020,6,2,Protests,Peaceful protest,Massachusetts,Essex,Swampscott,42.474,-70.922,0,0500000US25009,297898,4.3,3.8,7.3,6.2,9,14.1,13.7,16.4,10.1,15.1,83810,115702,31892,Very High
2020,6,2,Protests,Peaceful protest,Washington,King,Redmond,47.674,-122.122,0,0500000US53033,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
2020,6,2,Protests,Peaceful protest,Washington,Kitsap,Poulsbo,47.736,-122.646,0,0500000US53035,107525,3.7,2.3,5.6,4.7,10.3,20.6,15.4,20.6,8.2,8.5,79624,97436,17812,Very High
2020,6,2,Protests,Peaceful protest,New Jersey,Monmouth,Keansburg,40.44,-74.123,0,0500000US34025,240377,4.4,2.4,4.8,6.3,6.7,12.2,11.4,19.5,11.7,20.7,102870,143028,40158,Very High
2020,6,2,Protests,Peaceful protest,Michigan,Wayne,Grosse Pointe,42.386,-82.912,0,0500000US26163,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753,70465,19712,Very Low
2020,6,2,Protests,Peaceful protest,New Jersey,Burlington,Willingboro,40.028,-74.869,0,0500000US34005,170074,2.5,1.5,5.6,5.6,9.3,17,14.8,19.7,11.3,12.9,88797,114940,26143,Very High
2020,6,2,Protests,Peaceful protest,Delaware,Sussex,Frankford,38.517,-75.235,0,0500000US10005,96624,4.4,4,8.3,8.8,13.9,16.9,13.7,16.9,7.4,5.7,65155,88437,23282,High
2020,6,2,Protests,Peaceful protest,Massachusetts,Hampden,Holyoke,42.204,-72.616,0,0500000US25013,179970,7.1,6.5,9.7,8.8,11.1,16.6,11.2,16.5,6.4,6,60161,81547,21386,Middle
2020,6,2,Protests,Peaceful protest,Kansas,Barton,Great Bend,38.364,-98.765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,New Jersey,Middlesex,Highland Park,40.496,-74.424,0,0500000US34023,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418,117164,23746,Very High
2020,6,2,Protests,Peaceful protest,Texas,Johnson,Cleburne,32.348,-97.387,0,0500000US48251,59113,4.8,3.1,7.6,7.7,12.4,19.5,16.4,16.8,7.5,4.1,66319,81926,15607,High
2020,6,2,Protests,Peaceful protest,California,Riverside,Moreno Valley,33.938,-117.231,0,0500000US06065,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,22304,High
2020,6,2,Protests,Peaceful protest,California,Riverside,Palm Desert,33.721,-116.374,0,0500000US06065,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,22304,High
2020,6,2,Protests,Peaceful protest,California,San Luis Obispo,Paso Robles,35.627,-120.691,0,0500000US06079,106512,4.3,3.3,7.2,7.5,11.9,14.4,13.6,19,9.8,9.2,77265,99083,21818,Very High
2020,6,2,Protests,Peaceful protest,Arizona,Graham,Safford,32.834,-109.708,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Arkansas,Craighead,Jonesboro,35.842,-90.704,0,0500000US05031,41409,6.2,5,14.9,13.7,13.4,14.8,9.8,14.6,3.4,4.1,45610,68763,23153,Very Low
2020,6,2,Protests,Peaceful protest,Tennessee,Lauderdale,Ripley,35.745,-89.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,New York,Allegany,Alfred,42.276,-77.754,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,New York,Franklin,Saranac Lake,44.33,-74.131,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,New York,Nassau,Merrick,40.665,-73.569,0,0500000US36059,449798,3,1.7,5.1,3.9,6.5,11.5,10.5,18.5,14.3,25,118453,157774,39321,Very High
2020,6,2,Protests,Peaceful protest,New York,Nassau,Long Beach,40.588,-73.658,0,0500000US36059,449798,3,1.7,5.1,3.9,6.5,11.5,10.5,18.5,14.3,25,118453,157774,39321,Very High
2020,6,2,Protests,Peaceful protest,New York,Nassau,Freeport,40.655,-73.579,0,0500000US36059,449798,3,1.7,5.1,3.9,6.5,11.5,10.5,18.5,14.3,25,118453,157774,39321,Very High
2020,6,2,Protests,Peaceful protest,New York,Suffolk,Huntington,40.868,-73.426,0,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,138724,32496,Very High
2020,6,2,Protests,Peaceful protest,New Jersey,Middlesex,New Brunswick,40.486,-74.452,0,0500000US34023,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418,117164,23746,Very High
2020,6,2,Protests,Peaceful protest,New Jersey,Middlesex,North Brunswick,40.467,-74.457,0,0500000US34023,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418,117164,23746,Very High
2020,6,2,Protests,Peaceful protest,New Jersey,Middlesex,South Brunswick,40.384,-74.533,0,0500000US34023,285906,4.2,2.4,5.5,5.2,9,13.7,12.8,19.9,12.1,15.2,93418,117164,23746,Very High
2020,6,2,Protests,Peaceful protest,Massachusetts,Bristol,New Bedford,41.636,-70.934,0,0500000US25005,220528,6.3,4.7,9.2,7.7,10.5,14.1,12,17.7,9.4,8.3,70402,91524,21122,High
2020,6,2,Protests,Peaceful protest,Massachusetts,Middlesex,Marlborough,42.346,-71.548,0,0500000US25017,612366,4,2.7,4.6,4.5,7.2,12.5,11.3,19,13,21.3,107056,142727,35671,Very High
2020,6,2,Protests,Peaceful protest,Connecticut,New Haven,Wallingford,41.454,-72.819,0,0500000US09009,329006,6.1,4.4,9.3,7.8,10.3,15.2,12.6,16.4,8.4,9.4,69751,94695,24944,High
2020,6,2,Protests,Peaceful protest,Massachusetts,Hampden,Springfield,42.102,-72.59,0,0500000US25013,179970,7.1,6.5,9.7,8.8,11.1,16.6,11.2,16.5,6.4,6,60161,81547,21386,Middle
2020,6,2,Protests,Peaceful protest,Virginia,Lynchburg,Lynchburg,37.414,-79.142,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Illinois,DuPage,Downers Grove,41.809,-88.011,0,0500000US17043,342195,2.6,1.8,5.1,5.4,9,15.2,12.8,21,11.8,15.4,96403,126800,30397,Very High
2020,6,2,Riots,Violent demonstration,Iowa,Black Hawk,Waterloo,42.493,-92.343,0,0500000US19013,51869,6.7,3.4,7.5,8.9,14.5,20.6,13.2,14.1,5.2,5.9,60506,83308,22802,Middle
2020,6,2,Protests,Peaceful protest,Wisconsin,Racine,Racine,42.726,-87.783,0,0500000US55101,78905,5,5.3,9.2,8.2,14.2,15.5,13.7,17.4,6.5,4.9,60779,80173,19394,Middle
2020,6,2,Protests,Peaceful protest,Michigan,Genesee,Fenton,42.798,-83.705,0,0500000US26049,169247,8.6,4.9,9.8,10.9,15.3,19.1,12,11.6,4.2,3.4,50389,67405,17016,Very Low
2020,6,2,Protests,Peaceful protest,Illinois,Kankakee,Kankakee,41.12,-87.861,0,0500000US17091,39583,6.1,3.1,8.7,8,16.7,15.3,15.5,18.5,5.5,2.7,60923,73666,12743,Middle
2020,6,2,Protests,Peaceful protest,Ohio,Athens,Athens,39.329,-82.101,0,0500000US39009,22659,10.7,7.7,10.3,13.3,11.8,16.5,10,12.8,4.6,2.2,41851,62186,20335,Very Low
2020,6,2,Protests,Peaceful protest,Missouri,Barry,Monett,36.929,-93.928,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Ohio,Athens,Nelsonville,39.459,-82.232,0,0500000US39009,22659,10.7,7.7,10.3,13.3,11.8,16.5,10,12.8,4.6,2.2,41851,62186,20335,Very Low
2020,6,2,Protests,Peaceful protest,Ohio,Butler,Oxford,39.507,-84.745,0,0500000US39017,140141,6.3,3.2,7.5,7.4,11.1,18,15,15.7,9,6.8,68584,88973,20389,High
2020,6,2,Protests,Peaceful protest,Illinois,Cook,Park Ridge,42.011,-87.841,0,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
2020,6,2,Protests,Peaceful protest,Illinois,Cook,Tinley Park,41.573,-87.784,0,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
2020,6,2,Protests,Peaceful protest,Massachusetts,Essex,Gloucester,42.614,-70.663,0,0500000US25009,297898,4.3,3.8,7.3,6.2,9,14.1,13.7,16.4,10.1,15.1,83810,115702,31892,Very High
2020,6,2,Protests,Peaceful protest,Nebraska,Lancaster,Lincoln,40.808,-96.7,0,0500000US31109,128385,5.1,3.4,7.8,9.6,13.7,20.8,12.4,14.5,6.1,6.5,61175,84839,23664,Middle
2020,6,2,Protests,Peaceful protest,Vermont,Washington,Montpelier,44.263,-72.581,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Protests,Peaceful protest,Washington,King,Seattle,47.606,-122.333,0,0500000US53033,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
2020,6,2,Strategic developments,Change to group/activity,Arizona,Maricopa,Phoenix,33.449,-112.074,0,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
2020,6,2,Strategic developments,Change to group/activity,District of Columbia,District of Columbia,Washington DC,38.917,-77,0,0500000US11001,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,135369,43103,Very High
2020,6,2,Strategic developments,Change to group/activity,District of Columbia,District of Columbia,Washington DC,38.917,-77,0,0500000US11001,291570,8,3.3,4.9,4.6,8.5,12.1,11,16.2,10.6,20.7,92266,135369,43103,Very High
2020,6,2,Strategic developments,Change to group/activity,Michigan,Kalamazoo,Kalamazoo,42.29,-85.586,0,0500000US26077,103196,7.9,3.8,7,11.1,13.8,18.4,14.6,11.3,6.4,5.8,56441,79173,22732,Low
2020,6,2,Strategic developments,Change to group/activity,Nevada,Clark,Las Vegas,36.175,-115.137,0,0500000US32003,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107,85925,23818,Middle
2020,6,2,Strategic developments,Change to group/activity,Nevada,Clark,Las Vegas,36.175,-115.137,0,0500000US32003,813607,6.6,3.8,7.7,8.3,13.2,19,13.6,15.3,6,6.5,62107,85925,23818,Middle
2020,6,2,Strategic developments,Change to group/activity,New York,Erie,Buffalo,42.886,-78.878,0,0500000US36029,398326,6.6,4.5,9.4,9.5,12,18.2,12.9,14.3,6.9,5.7,60652,79972,19320,Middle
2020,6,2,Strategic developments,Other,Nebraska,Hall,Grand Island,40.925,-98.342,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,6,2,Violence against civilians,Attack,California,Solano,Vallejo,38.104,-122.257,1,0500000US06095,150393,4.4,2.2,4.3,6.3,9.7,16,15.6,20.5,10.9,10.1,86652,105465,18813,Very High
2020,6,2,Protests,Peaceful protest,California,Alameda,Oakland,37.804,-122.271,0,0500000US06001,585632,4.2,3.4,4.9,4.8,6.4,11.6,10.7,19,12.8,22.2,108322,141427,33105,Very High
