county,state,age_under_5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,age_pct_under_5,age_pct_5_9,age_pct_10_14,age_pct_15_19,age_pct_20_24,age_pct_25_29,age_pct_30_34,age_pct_35_39,age_pct_40_44,age_pct_45_49,age_pct_50_54,age_pct_55_59,age_pct_60_64,age_pct_65_69,age_pct_70_74,age_pct_75_79,age_pct_80_84,age_pct_85_over
Muskingum,Ohio,4704,4248,6616,5984,5526,5280,4502,4423,5220,6004,6062,6859,4925,4600,4529,2972,1513,2248,5.5,4.9,7.7,6.9,6.4,6.1,5.2,5.1,6.1,7,7,8,5.7,5.3,5.3,3.4,1.8,2.6
Portage,Ohio,6804,7334,9844,13567,18493,10173,9048,8541,8556,9511,9919,11221,11541,8968,7486,4873,3425,3162,4.2,4.5,6.1,8.4,11.4,6.3,5.6,5.3,5.3,5.9,6.1,6.9,7.1,5.5,4.6,3,2.1,1.9
Richland,Ohio,6641,7440,7913,6439,7329,8651,7222,6781,6531,8474,7382,8606,8216,7486,5623,3871,2898,3651,5.5,6.1,6.5,5.3,6,7.1,6,5.6,5.4,7,6.1,7.1,6.8,6.2,4.6,3.2,2.4,3
Ross,Ohio,4439,4420,5086,3918,4343,5191,4817,5824,4069,5382,5347,5533,5366,4217,3447,2261,1661,1345,5.8,5.8,6.6,5.1,5.7,6.8,6.3,7.6,5.3,7,7,7.2,7,5.5,4.5,2.9,2.2,1.8
Scioto,Ohio,4627,5101,3782,4482,4621,5248,4788,4813,3893,5364,4496,6510,3743,4751,3186,3054,1408,1447,6.1,6.8,5,6,6.1,7,6.4,6.4,5.2,7.1,6,8.6,5,6.3,4.2,4.1,1.9,1.9
Stark,Ohio,20696,20461,23743,23749,21064,23686,20094,20882,22570,21896,24679,26373,27307,20698,20658,15052,8852,8146,5.6,5.5,6.4,6.4,5.7,6.4,5.4,5.6,6.1,5.9,6.7,7.1,7.4,5.6,5.6,4.1,2.4,2.2
Summit,Ohio,29931,30802,32210,31593,33660,37433,34941,30688,33291,33156,34940,39060,39401,30787,27446,16662,11746,13266,5.5,5.7,6,5.8,6.2,6.9,6.5,5.7,6.2,6.1,6.5,7.2,7.3,5.7,5.1,3.1,2.2,2.5
Trumbull,Ohio,10858,10391,11876,10956,11443,12300,10368,9989,11666,12293,12927,14411,15012,13071,11600,8348,5244,5221,5.5,5.2,6,5.5,5.8,6.2,5.2,5,5.9,6.2,6.5,7.3,7.6,6.6,5.9,4.2,2.6,2.6
Tuscarawas,Ohio,5743,5730,6044,5248,5190,5301,5323,5540,5237,5427,5584,6845,6119,6187,4307,2677,2890,2595,6.2,6.2,6.6,5.7,5.6,5.8,5.8,6,5.7,5.9,6.1,7.4,6.7,6.7,4.7,2.9,3.1,2.8
Warren,Ohio,12613,14891,17676,16808,12771,12689,14318,17619,14242,17593,17027,15118,16594,11707,8690,6805,3891,3550,5.4,6.3,7.5,7.2,5.4,5.4,6.1,7.5,6.1,7.5,7.3,6.4,7.1,5,3.7,2.9,1.7,1.5
Wayne,Ohio,7209,6919,8575,8778,8382,6886,6296,6971,5681,6382,6547,7319,8469,6813,5131,3633,2707,3012,6.2,6,7.4,7.6,7.2,6,5.4,6,4.9,5.5,5.7,6.3,7.3,5.9,4.4,3.1,2.3,2.6
Wood,Ohio,6792,7453,7123,11620,16372,8536,7908,6359,7289,7701,6943,8586,7950,6510,5533,3974,2672,1496,5.2,5.7,5.4,8.9,12.5,6.5,6,4.9,5.6,5.9,5.3,6.6,6.1,5,4.2,3,2,1.1
Canadian,Oklahoma,9165,10307,12273,10917,8402,9368,11277,13748,9011,9176,8091,7941,8892,5719,6526,2919,2113,2461,6.2,6.9,8.3,7.4,5.7,6.3,7.6,9.3,6.1,6.2,5.5,5.4,6,3.9,4.4,2,1.4,1.7
Cleveland,Oklahoma,14784,14717,19868,23135,31110,19807,20225,20001,16694,17370,14721,16633,15452,12240,11281,7596,4263,4117,5.2,5.2,7,8.1,11,7,7.1,7,5.9,6.1,5.2,5.9,5.4,4.3,4,2.7,1.5,1.4
Comanche,Oklahoma,8032,9591,5864,8789,10484,10997,9941,8561,7007,5924,6048,8187,6646,3600,4967,2876,1231,2004,6.7,7.9,4.9,7.3,8.7,9.1,8.2,7.1,5.8,4.9,5,6.8,5.5,3,4.1,2.4,1,1.7
Creek,Oklahoma,3934,4743,5160,4932,3625,4426,4015,4182,4183,4906,4352,4884,4944,4104,3619,2205,1627,1681,5.5,6.6,7.2,6.9,5.1,6.2,5.6,5.8,5.8,6.9,6.1,6.8,6.9,5.7,5.1,3.1,2.3,2.4
Muskogee,Oklahoma,4280,5359,4232,4569,4035,4760,4125,3755,4883,4015,3665,3660,5084,3984,2951,2059,1252,1329,6.3,7.9,6.2,6.7,5.9,7,6.1,5.5,7.2,5.9,5.4,5.4,7.5,5.9,4.3,3,1.8,2
Oklahoma,Oklahoma,57841,55566,57561,50941,52810,63315,60104,55277,49244,45582,43083,47247,46900,37124,30191,18269,13512,12867,7.3,7,7.2,6.4,6.6,7.9,7.5,6.9,6.2,5.7,5.4,5.9,5.9,4.7,3.8,2.3,1.7,1.6
Payne,Oklahoma,3924,4787,4220,8614,15041,6251,5480,4415,3833,3142,3342,3999,3392,3048,2835,2533,1666,1262,4.8,5.9,5.2,10.5,18.4,7.6,6.7,5.4,4.7,3.8,4.1,4.9,4.1,3.7,3.5,3.1,2,1.5
Pottawatomie,Oklahoma,4386,3969,5924,5528,4523,4115,4524,4805,4775,4416,4178,5325,4190,3783,3058,2347,1490,1256,6,5.5,8.2,7.6,6.2,5.7,6.2,6.6,6.6,6.1,5.8,7.3,5.8,5.2,4.2,3.2,2.1,1.7
Rogers,Oklahoma,5635,5007,7020,5704,5964,5888,5777,5705,5430,5959,5998,5943,6957,5219,3874,2420,2261,1698,6.1,5.4,7.6,6.2,6.5,6.4,6.2,6.2,5.9,6.4,6.5,6.4,7.5,5.6,4.2,2.6,2.4,1.8
Tulsa,Oklahoma,45843,45172,46061,42606,41474,48956,46402,44343,40489,38970,36938,38753,39093,33682,23260,16531,10786,12193,7,6.9,7.1,6.5,6.4,7.5,7.1,6.8,6.2,6,5.7,5.9,6,5.2,3.6,2.5,1.7,1.9
Wagoner,Oklahoma,4622,5582,5753,5510,4312,5018,5479,5377,5316,5572,4650,5985,4475,4359,3737,2673,1859,1010,5.7,6.9,7.1,6.8,5.3,6.2,6.7,6.6,6.5,6.9,5.7,7.4,5.5,5.4,4.6,3.3,2.3,1.2
Benton,Oregon,3763,3308,4899,8439,15491,6602,4758,5774,5368,4665,4343,5007,5631,5168,4154,2242,1388,2053,4,3.6,5.3,9.1,16.6,7.1,5.1,6.2,5.8,5,4.7,5.4,6.1,5.6,4.5,2.4,1.5,2.2
Clackamas,Oregon,21839,25828,24580,24033,23770,24218,25717,30699,28127,26551,26685,27290,30439,25785,21987,13696,8303,8640,5.2,6.2,5.9,5.7,5.7,5.8,6.1,7.3,6.7,6.3,6.4,6.5,7.3,6.2,5.3,3.3,2,2.1
Deschutes,Oregon,8409,12479,10182,11665,9917,12122,12341,13211,13155,14222,11832,12812,14675,13742,11679,6837,4930,3482,4.3,6.3,5.2,5.9,5,6.1,6.2,6.7,6.7,7.2,6,6.5,7.4,7,5.9,3.5,2.5,1.8
Douglas,Oregon,5402,5011,7381,5638,5010,5945,6188,7061,5236,5755,6590,7656,8618,9336,7270,5065,3885,3933,4.9,4.5,6.7,5.1,4.5,5.4,5.6,6.4,4.7,5.2,5.9,6.9,7.8,8.4,6.6,4.6,3.5,3.5
Jackson,Oregon,11654,12653,13339,11774,12122,13068,12476,14612,12073,12433,13767,14737,14782,16605,13929,8731,6294,5895,5.3,5.7,6,5.3,5.5,5.9,5.6,6.6,5.5,5.6,6.2,6.7,6.7,7.5,6.3,4,2.8,2.7
Josephine,Oregon,4296,5139,4515,4691,3446,4536,5454,4816,4380,5050,5507,5058,7587,7103,6178,4773,2283,2675,4.9,5.9,5.2,5.4,3.9,5.2,6.2,5.5,5,5.8,6.3,5.8,8.7,8.1,7.1,5.5,2.6,3.1
Klamath,Oregon,4049,4738,3725,3193,4054,4307,4365,4546,3280,3905,3760,5029,4517,5176,3724,3361,1007,1502,5.9,6.9,5.5,4.7,5.9,6.3,6.4,6.7,4.8,5.7,5.5,7.4,6.6,7.6,5.5,4.9,1.5,2.2
Lane,Oregon,18172,18132,21186,24786,34930,26285,23333,27131,21023,20374,21083,24653,24947,25281,21644,13146,8285,7676,4.8,4.7,5.5,6.5,9.1,6.9,6.1,7.1,5.5,5.3,5.5,6.5,6.5,6.6,5.7,3.4,2.2,2
Linn,Oregon,6902,6861,9007,8554,7699,9055,8515,7079,8327,8659,7341,8760,8151,7963,6770,4407,2784,2915,5.3,5.3,6.9,6.6,5.9,7,6.6,5.5,6.4,6.7,5.7,6.8,6.3,6.1,5.2,3.4,2.1,2.2
Marion,Oregon,22495,22848,24195,24855,22480,24348,24269,21319,23128,20208,20070,20432,20803,19041,14440,10298,6835,5754,6.5,6.6,7,7.1,6.5,7,7,6.1,6.6,5.8,5.8,5.9,6,5.5,4.2,3,2,1.7
Multnomah,Oregon,42143,40791,43197,39665,47594,74253,77944,75112,61572,57431,48597,44728,46693,40485,32004,17920,10456,12270,5.2,5,5.3,4.9,5.9,9.1,9.6,9.2,7.6,7.1,6,5.5,5.7,5,3.9,2.2,1.3,1.5
Polk,Oregon,4954,5498,5362,7361,7609,4375,5073,4820,5353,4431,5434,4485,5599,5039,4226,2574,1975,1917,5.8,6.4,6.2,8.6,8.8,5.1,5.9,5.6,6.2,5.1,6.3,5.2,6.5,5.9,4.9,3,2.3,2.2
Umatilla,Oregon,4653,5073,6651,5229,4234,6158,6159,4464,4617,4845,4395,4985,3898,4022,3690,2391,1183,1303,6,6.5,8.5,6.7,5.4,7.9,7.9,5.7,5.9,6.2,5.6,6.4,5,5.2,4.7,3.1,1.5,1.7
Washington,Oregon,34733,35597,41526,36132,36321,47069,48015,47483,43193,41585,37594,35577,33196,26381,24075,13993,7720,11402,5.8,5.9,6.9,6,6,7.8,8,7.9,7.2,6.9,6.2,5.9,5.5,4.4,4,2.3,1.3,1.9
Yamhill,Oregon,5447,5738,7665,8161,6717,7407,7461,7690,5741,6909,5592,6142,7629,6013,5295,3253,1819,2421,5.1,5.4,7.2,7.6,6.3,6.9,7,7.2,5.4,6.5,5.2,5.7,7.1,5.6,4.9,3,1.7,2.3
Adams,Pennsylvania,4740,5300,6061,7241,6944,5574,5456,5064,5828,6359,7310,8144,7290,7044,5608,4309,2243,2494,4.6,5.1,5.9,7,6.7,5.4,5.3,4.9,5.7,6.2,7.1,7.9,7.1,6.8,5.4,4.2,2.2,2.4
Allegheny,Pennsylvania,63958,61210,63068,69207,74033,92828,95328,80658,66692,68336,73063,81745,90435,76168,56326,38365,26460,38165,5.3,5,5.2,5.7,6.1,7.6,7.8,6.6,5.5,5.6,6,6.7,7.4,6.3,4.6,3.2,2.2,3.1
Armstrong,Pennsylvania,3375,4083,2824,3176,3126,3447,3793,3206,3862,4057,4555,4469,6111,4680,3645,2381,2283,1662,5.2,6.3,4.4,4.9,4.8,5.3,5.9,5,6,6.3,7,6.9,9.4,7.2,5.6,3.7,3.5,2.6
Beaver,Pennsylvania,8150,8899,8806,8402,8616,10420,9966,10456,7721,9255,11164,12146,13669,11445,8795,6474,5376,4169,5,5.4,5.4,5.1,5.3,6.4,6.1,6.4,4.7,5.6,6.8,7.4,8.3,7,5.4,3.9,3.3,2.5
Berks,Pennsylvania,24098,25762,27224,29262,27393,26452,26115,24638,24161,25617,28209,29056,28964,21493,20984,12759,9337,9640,5.7,6.1,6.5,6.9,6.5,6.3,6.2,5.8,5.7,6.1,6.7,6.9,6.9,5.1,5,3,2.2,2.3
Blair,Pennsylvania,6596,5952,7912,7377,5991,8317,7019,6737,6900,7574,7628,10030,7819,8091,6153,5517,3183,3033,5.4,4.9,6.5,6.1,4.9,6.8,5.8,5.5,5.7,6.2,6.3,8.2,6.4,6.6,5.1,4.5,2.6,2.5
Bucks,Pennsylvania,30324,32788,39258,37575,34873,35634,33970,38521,38452,39929,45452,53179,47657,37538,31291,21322,14722,15785,4.8,5.2,6.2,6,5.6,5.7,5.4,6.1,6.1,6.4,7.2,8.5,7.6,6,5,3.4,2.3,2.5
Butler,Pennsylvania,9766,10215,10530,12057,10295,10270,11567,12223,9356,12508,13867,14810,14248,11291,9477,6268,4600,4505,5.2,5.4,5.6,6.4,5.5,5.5,6.2,6.5,5,6.7,7.4,7.9,7.6,6,5,3.3,2.4,2.4
Cambria,Pennsylvania,6190,6870,6762,8528,7885,6752,6635,6593,7228,7855,8639,9555,10285,10173,6943,5533,3275,4491,4.8,5.3,5.2,6.6,6.1,5.2,5.1,5.1,5.6,6,6.6,7.3,7.9,7.8,5.3,4.2,2.5,3.4
Carbon,Pennsylvania,2845,3070,3636,3285,2962,3314,3972,3083,4131,3893,5916,4381,5815,5180,2942,1802,1360,2595,4.4,4.8,5.7,5.1,4.6,5.2,6.2,4.8,6.4,6.1,9.2,6.8,9.1,8.1,4.6,2.8,2.1,4
Centre,Pennsylvania,5671,6316,7285,15930,26297,12129,10151,7144,10030,9180,8700,8704,10652,6990,6909,3713,3941,2643,3.5,3.9,4.5,9.8,16.2,7.5,6.3,4.4,6.2,5.7,5.4,5.4,6.6,4.3,4.3,2.3,2.4,1.6
Chester,Pennsylvania,28639,31128,36210,37079,32756,29014,31400,33445,32115,33524,36915,39292,36118,27646,23032,16592,8754,11330,5.5,5.9,6.9,7.1,6.2,5.5,6,6.4,6.1,6.4,7,7.5,6.9,5.3,4.4,3.2,1.7,2.2
Clearfield,Pennsylvania,3578,3695,4369,4095,4022,4745,4950,4502,4964,5465,6055,7074,4879,5580,3918,2733,2118,2513,4.5,4.7,5.5,5.2,5.1,6,6.2,5.7,6.3,6.9,7.6,8.9,6.2,7,4.9,3.4,2.7,3.2
Columbia,Pennsylvania,2934,2977,3516,5316,6016,3538,3461,3408,3606,4078,4099,4281,4741,3659,3758,2659,1432,1485,4.5,4.6,5.4,8.2,9.3,5.4,5.3,5.2,5.6,6.3,6.3,6.6,7.3,5.6,5.8,4.1,2.2,2.3
Crawford,Pennsylvania,4532,4534,5057,5689,5143,4641,4649,5058,3878,5281,5638,6446,6023,5454,5359,4026,1177,2044,5.4,5.4,6,6.7,6.1,5.5,5.5,6,4.6,6.2,6.7,7.6,7.1,6.4,6.3,4.8,1.4,2.4
