county,state,age_under_5,age_5_9,age_10_14,age_15_19,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44,age_45_49,age_50_54,age_55_59,age_60_64,age_65_69,age_70_74,age_75_79,age_80_84,age_85_over,age_pct_under_5,age_pct_5_9,age_pct_10_14,age_pct_15_19,age_pct_20_24,age_pct_25_29,age_pct_30_34,age_pct_35_39,age_pct_40_44,age_pct_45_49,age_pct_50_54,age_pct_55_59,age_pct_60_64,age_pct_65_69,age_pct_70_74,age_pct_75_79,age_pct_80_84,age_pct_85_over
Philadelphia,Pennsylvania,102718,91794,96623,94645,109843,157725,147091,113358,88369,87438,89837,90607,92666,70062,58015,38636,26551,28086,6.5,5.8,6.1,6,6.9,10,9.3,7.2,5.6,5.5,5.7,5.7,5.8,4.4,3.7,2.4,1.7,1.8
Schuylkill,Pennsylvania,6732,7292,8602,7548,6997,8624,8383,9151,7855,9575,10415,10551,10220,8662,8036,4695,3307,4714,4.8,5.2,6.1,5.3,4.9,6.1,5.9,6.5,5.6,6.8,7.4,7.5,7.2,6.1,5.7,3.3,2.3,3.3
Somerset,Pennsylvania,3608,3568,3917,3811,3649,4091,4120,4183,4051,4888,5264,6043,5388,5276,4114,2604,2158,2714,4.9,4.9,5.3,5.2,5,5.6,5.6,5.7,5.5,6.7,7.2,8.2,7.3,7.2,5.6,3.5,2.9,3.7
Washington,Pennsylvania,10137,13375,9600,12435,12456,10878,11910,12147,11906,12855,14071,13305,18128,14363,10306,8152,4874,5967,4.9,6.5,4.6,6,6,5.3,5.8,5.9,5.8,6.2,6.8,6.4,8.8,6.9,5,3.9,2.4,2.9
Westmoreland,Pennsylvania,15490,17877,18168,19578,18200,19415,18158,21593,16620,21686,24564,25445,31051,26599,19046,14405,9040,11964,4.4,5.1,5.2,5.6,5.2,5.6,5.2,6.2,4.8,6.2,7,7.3,8.9,7.6,5.5,4.1,2.6,3.4
York,Pennsylvania,25154,25969,29900,28477,25035,27528,28580,27215,27241,28995,30497,31259,32250,26608,20523,14156,11367,8304,5.6,5.8,6.7,6.3,5.6,6.1,6.4,6.1,6.1,6.5,6.8,7,7.2,5.9,4.6,3.2,2.5,1.8
Kent,Rhode Island,8211,7525,8651,8955,8571,11430,10239,9676,9652,10949,12890,13327,12483,10465,7871,5317,3005,5075,5,4.6,5.3,5.5,5.2,7,6.2,5.9,5.9,6.7,7.8,8.1,7.6,6.4,4.8,3.2,1.8,3.1
Newport,Rhode Island,3612,2038,5099,4630,5608,5559,4935,4056,4715,4727,5409,6854,5970,5359,5327,3757,2191,2236,4.4,2.5,6.2,5.6,6.8,6.8,6,4.9,5.7,5.8,6.6,8.4,7.3,6.5,6.5,4.6,2.7,2.7
Providence,Rhode Island,36476,32224,39426,43613,45613,51396,48436,45309,33840,38181,41417,39128,44168,33627,23330,18414,10474,13859,5.7,5,6.2,6.8,7.1,8,7.6,7.1,5.3,6,6.5,6.1,6.9,5.3,3.7,2.9,1.6,2.2
Washington,Rhode Island,4795,4886,6440,9699,11029,6452,5931,6815,5028,7001,8627,10176,11762,9103,6806,4999,2016,4012,3.8,3.9,5.1,7.7,8.8,5.1,4.7,5.4,4,5.6,6.9,8.1,9.4,7.2,5.4,4,1.6,3.2
Aiken,South Carolina,9550,10075,11632,10495,9130,11404,11292,11630,7916,9487,11007,12549,11223,10201,9846,6940,2769,3726,5.6,5.9,6.8,6.1,5.3,6.7,6.6,6.8,4.6,5.6,6.4,7.3,6.6,6,5.8,4.1,1.6,2.2
Anderson,South Carolina,11149,10884,14521,14710,11744,12581,11781,12217,12201,12650,12952,13481,14335,11502,10563,6847,5014,3426,5.5,5.4,7.2,7.3,5.8,6.2,5.8,6,6,6.2,6.4,6.7,7.1,5.7,5.2,3.4,2.5,1.7
Beaufort,South Carolina,9597,7720,11884,11322,12913,10408,10091,9082,8675,10431,9930,13710,12593,16646,15071,10649,7192,4208,5,4,6.2,5.9,6.7,5.4,5.3,4.7,4.5,5.4,5.2,7.1,6.6,8.7,7.8,5.5,3.7,2.2
Berkeley,South Carolina,13961,15364,15095,17016,13367,17031,17427,15384,14244,14660,13841,14861,13854,11706,8565,6725,2912,1894,6.1,6.7,6.6,7.5,5.9,7.5,7.6,6.8,6.2,6.4,6.1,6.5,6.1,5.1,3.8,3,1.3,0.8
Charleston,South Carolina,23800,22755,22009,23084,25449,33192,34602,29410,26454,23615,23716,30838,23208,20617,22249,10888,7831,7689,5.8,5.5,5.3,5.6,6.2,8.1,8.4,7.1,6.4,5.7,5.8,7.5,5.6,5,5.4,2.6,1.9,1.9
Darlington,South Carolina,3851,3364,4741,5043,4530,3265,4339,2946,3999,4236,3911,4599,4804,4222,3534,2387,1779,1068,5.8,5,7.1,7.6,6.8,4.9,6.5,4.4,6,6.4,5.9,6.9,7.2,6.3,5.3,3.6,2.7,1.6
Dorchester,South Carolina,9631,12495,10460,10225,8626,11645,11127,12060,11310,9638,11174,11193,9331,8220,7099,4239,2135,2201,5.9,7.7,6.4,6.3,5.3,7.2,6.8,7.4,6.9,5.9,6.9,6.9,5.7,5,4.4,2.6,1.3,1.4
Florence,South Carolina,8574,8177,9908,8462,9065,9145,9248,6538,9720,8225,8612,8970,9598,8115,6651,4973,2286,2026,6.2,5.9,7.2,6.1,6.6,6.6,6.7,4.7,7,5.9,6.2,6.5,6.9,5.9,4.8,3.6,1.7,1.5
Greenville,South Carolina,31988,34322,34145,32545,31937,37478,36331,36810,30163,34459,32714,34002,32306,26461,23671,17075,9445,7690,6.1,6.6,6.5,6.2,6.1,7.2,6.9,7,5.8,6.6,6.2,6.5,6.2,5.1,4.5,3.3,1.8,1.5
Greenwood,South Carolina,4356,4634,4055,4405,4573,5422,3865,4210,4643,3950,3983,4625,3819,4974,3240,2335,1747,1975,6.2,6.5,5.7,6.2,6.5,7.7,5.5,5.9,6.6,5.6,5.6,6.5,5.4,7,4.6,3.3,2.5,2.8
Horry,South Carolina,15624,17162,19749,17980,17568,20313,19278,19110,19958,20188,22197,26467,29999,29839,27963,16880,8066,5740,4.4,4.8,5.6,5.1,5,5.7,5.4,5.4,5.6,5.7,6.3,7.5,8.5,8.4,7.9,4.8,2.3,1.6
Kershaw,South Carolina,3847,5100,3752,4353,2976,3804,3684,5203,3341,3908,4581,4558,5006,5001,2958,1750,1274,1455,5.8,7.7,5.6,6.5,4.5,5.7,5.5,7.8,5,5.9,6.9,6.8,7.5,7.5,4.4,2.6,1.9,2.2
Lancaster,South Carolina,5843,7368,4464,5827,4047,5524,5331,8181,5109,7102,5437,6809,6216,5675,6371,3348,2756,2604,6,7.5,4.6,5.9,4.1,5.6,5.4,8.3,5.2,7.2,5.5,6.9,6.3,5.8,6.5,3.4,2.8,2.7
Laurens,South Carolina,3915,4077,4593,4582,3437,3503,4980,4437,3125,4239,4540,5258,4337,3909,3105,2994,1169,1293,5.8,6,6.8,6.8,5.1,5.2,7.4,6.6,4.6,6.3,6.7,7.8,6.4,5.8,4.6,4.4,1.7,1.9
Lexington,South Carolina,16247,18021,23132,17990,15951,20016,19967,20391,18195,20177,20021,20062,20243,15071,14241,8870,4991,5164,5.4,6,7.7,6,5.3,6.7,6.7,6.8,6.1,6.8,6.7,6.7,6.8,5,4.8,3,1.7,1.7
Oconee,South Carolina,3262,4959,5179,4191,4027,4941,4433,3477,3846,4335,5046,7381,5464,4976,6525,4239,1860,1405,4.1,6.2,6.5,5.3,5.1,6.2,5.6,4.4,4.8,5.4,6.3,9.3,6.9,6.3,8.2,5.3,2.3,1.8
Orangeburg,South Carolina,4441,5535,5962,5810,5973,5375,4638,3567,5147,4670,5419,4481,7831,6161,4150,2864,1848,2303,5.2,6.4,6.9,6.7,6.9,6.2,5.4,4.1,6,5.4,6.3,5.2,9.1,7.1,4.8,3.3,2.1,2.7
Pickens,South Carolina,6914,6275,6576,10714,15908,8377,7272,7024,6034,7377,7325,8476,6940,7185,5204,3828,3634,1821,5.4,4.9,5.2,8.4,12.5,6.6,5.7,5.5,4.8,5.8,5.8,6.7,5.5,5.7,4.1,3,2.9,1.4
Richland,South Carolina,23781,21166,28518,39597,39201,32979,27833,28195,23698,24616,23632,23428,23472,19058,15501,10451,6195,4438,5.7,5.1,6.9,9.5,9.4,7.9,6.7,6.8,5.7,5.9,5.7,5.6,5.6,4.6,3.7,2.5,1.5,1.1
Spartanburg,South Carolina,19682,20097,21626,20658,20591,22993,20324,19003,20333,19942,21152,20471,21025,17175,13892,8699,5166,6956,6.2,6.3,6.8,6.5,6.4,7.2,6.4,5.9,6.4,6.2,6.6,6.4,6.6,5.4,4.3,2.7,1.6,2.2
Sumter,South Carolina,7033,7152,6957,7343,7065,8079,6655,7079,5706,6054,5696,8897,4825,6221,4594,3104,2316,1945,6.6,6.7,6.5,6.9,6.6,7.6,6.2,6.6,5.3,5.7,5.3,8.3,4.5,5.8,4.3,2.9,2.2,1.8
York,South Carolina,16586,19067,20732,18024,15252,16959,18893,20689,18659,20440,18643,17720,17258,12689,13617,7728,4180,3843,5.9,6.8,7.4,6.4,5.4,6,6.7,7.4,6.6,7.3,6.6,6.3,6.1,4.5,4.8,2.8,1.5,1.4
Minnehaha,South Dakota,13766,13179,13883,12256,11454,15182,13659,15462,10254,11523,12335,13418,10479,9597,6893,4378,2920,2496,7.1,6.8,7.2,6.3,5.9,7.9,7.1,8,5.3,6,6.4,6.9,5.4,5,3.6,2.3,1.5,1.3
Pennington,South Dakota,6841,6964,7741,6905,6864,6895,7516,6715,6073,6236,6563,9036,7694,7301,6296,2976,2143,3016,6,6.1,6.8,6.1,6,6.1,6.6,5.9,5.3,5.5,5.8,7.9,6.8,6.4,5.5,2.6,1.9,2.7
Anderson,Tennessee,3820,4543,4387,4510,3960,4907,4552,4419,4121,5550,5310,5734,5029,4691,4601,2274,2264,2306,5,5.9,5.7,5.9,5.1,6.4,5.9,5.7,5.4,7.2,6.9,7.4,6.5,6.1,6,3,2.9,3
Blount,Tennessee,6792,6717,8598,8071,6864,8077,8242,7208,7166,9368,9068,9876,8981,9342,7548,5995,2912,2263,5.1,5,6.5,6.1,5.2,6.1,6.2,5.4,5.4,7,6.8,7.4,6.7,7,5.7,4.5,2.2,1.7
Bradley,Tennessee,6236,6876,5413,7732,6487,7970,6704,7677,6286,6924,7178,7279,6809,5615,5044,3484,2730,1666,5.8,6.4,5,7.2,6,7.4,6.2,7.1,5.8,6.4,6.6,6.7,6.3,5.2,4.7,3.2,2.5,1.5
Davidson,Tennessee,46059,36793,39998,37938,49461,74953,68048,52752,42721,40239,38927,41791,37565,31011,22469,14886,11018,7515,6.6,5.3,5.8,5.5,7.1,10.8,9.8,7.6,6.2,5.8,5.6,6,5.4,4.5,3.2,2.1,1.6,1.1
Greene,Tennessee,3299,4039,3591,4153,3616,3922,3797,4003,4096,4767,4907,4552,5278,4807,4012,2617,2240,1373,4.8,5.8,5.2,6,5.2,5.7,5.5,5.8,5.9,6.9,7.1,6.6,7.6,7,5.8,3.8,3.2,2
Hamilton,Tennessee,20857,20023,22530,22591,22595,27695,25769,23419,22885,23081,22167,23012,25660,20389,17191,11209,7418,9313,5.7,5.4,6.1,6.1,6.1,7.5,7,6.4,6.2,6.3,6,6.3,7,5.5,4.7,3,2,2.5
Knox,Tennessee,26669,25886,29029,30378,41368,34036,31279,29569,29905,29148,28353,31395,27523,23672,20984,12988,8858,9273,5.7,5.5,6.2,6.5,8.8,7.2,6.7,6.3,6.4,6.2,6,6.7,5.9,5,4.5,2.8,1.9,2
Madison,Tennessee,5969,6046,7397,5372,7833,5940,5390,5840,5521,6100,5412,7658,6250,5707,4721,3094,2101,1633,6.1,6.2,7.5,5.5,8,6.1,5.5,6,5.6,6.2,5.5,7.8,6.4,5.8,4.8,3.2,2.1,1.7
Maury,Tennessee,6433,5289,6947,5659,5260,6394,7437,6017,5288,6311,6053,6959,6570,4616,5104,2909,2047,1094,6.7,5.5,7.2,5.9,5.5,6.6,7.7,6.2,5.5,6.5,6.3,7.2,6.8,4.8,5.3,3,2.1,1.1
Montgomery,Tennessee,17840,14124,16325,15470,15757,20562,16815,17208,12543,10962,11222,10251,9707,8125,5004,2643,2091,2344,8.5,6.8,7.8,7.4,7.5,9.8,8,8.2,6,5.2,5.4,4.9,4.6,3.9,2.4,1.3,1,1.1
Putnam,Tennessee,4203,4491,5093,5128,8343,5845,4757,3779,5340,4813,5148,4333,5380,3739,3866,2728,1760,1499,5.2,5.6,6.3,6.4,10.4,7.3,5.9,4.7,6.7,6,6.4,5.4,6.7,4.7,4.8,3.4,2.2,1.9
Robertson,Tennessee,4377,4449,5184,4453,3546,5012,4617,5439,3975,4895,4729,5733,4202,4024,2781,2897,694,806,6.1,6.2,7.2,6.2,4.9,7,6.4,7.6,5.5,6.8,6.6,8,5.9,5.6,3.9,4,1,1.1
Rutherford,Tennessee,21442,19143,27340,25932,30253,23372,22929,21647,25062,22644,20409,19606,16751,12000,10589,6565,3519,3082,6.5,5.8,8.2,7.8,9.1,7,6.9,6.5,7.5,6.8,6.1,5.9,5,3.6,3.2,2,1.1,0.9
Sevier,Tennessee,5763,4945,6097,5419,5453,6832,5034,5102,5994,6820,6337,7388,7068,6927,5543,3729,1777,2022,5.9,5,6.2,5.5,5.6,7,5.1,5.2,6.1,6.9,6.4,7.5,7.2,7.1,5.6,3.8,1.8,2.1
Shelby,Tennessee,64882,64452,66038,59917,61877,74757,66302,62414,54155,58076,56534,58676,57933,43867,37122,23243,13675,13246,6.9,6.9,7,6.4,6.6,8,7.1,6.7,5.8,6.2,6,6.3,6.2,4.7,4,2.5,1.5,1.4
Sullivan,Tennessee,7599,7517,9503,8588,8665,9628,9227,7697,9732,10676,11924,10733,11798,9229,10097,7659,4112,3964,4.8,4.7,6,5.4,5.5,6.1,5.8,4.9,6.1,6.7,7.5,6.8,7.5,5.8,6.4,4.8,2.6,2.5
Sumner,Tennessee,11227,13725,12141,12803,9692,11334,11978,12076,13651,13368,13362,13566,11521,9559,8502,6842,3399,2537,5.9,7.2,6.3,6.7,5.1,5.9,6.3,6.3,7.1,7,7,7.1,6,5,4.4,3.6,1.8,1.3
Washington,Tennessee,6498,6572,7005,8599,11691,9167,8358,6212,7619,7998,8113,8975,9026,7115,6573,4027,3198,2629,5,5.1,5.4,6.6,9,7.1,6.5,4.8,5.9,6.2,6.3,6.9,7,5.5,5.1,3.1,2.5,2
Williamson,Tennessee,13043,18401,19829,19440,11737,9191,11281,17107,20500,19088,15955,15523,15109,10374,10062,5649,3062,3061,5.5,7.7,8.3,8.2,4.9,3.9,4.7,7.2,8.6,8,6.7,6.5,6.3,4.4,4.2,2.4,1.3,1.3
Wilson,Tennessee,8000,10167,10712,8248,7066,8286,9903,10331,10252,10405,9251,10844,7954,8586,6105,4326,2297,1924,5.5,7,7.4,5.7,4.9,5.7,6.8,7.1,7.1,7.2,6.4,7.5,5.5,5.9,4.2,3,1.6,1.3
Angelina,Texas,5787,6372,5674,6248,5516,5322,5896,5223,6501,3481,5508,5640,4727,4313,4586,2578,1919,1424,6.7,7.3,6.5,7.2,6.4,6.1,6.8,6,7.5,4,6.4,6.5,5.5,5,5.3,3,2.2,1.6
Bastrop,Texas,5805,6340,6377,5224,8020,5059,5709,5052,5800,4443,4701,6546,5803,5346,4440,1986,1079,993,6.5,7.1,7.2,5.9,9,5.7,6.4,5.7,6.5,5,5.3,7.4,6.5,6,5,2.2,1.2,1.1
Bell,Texas,29901,26327,28294,27409,28467,32699,27696,25286,22609,19749,18104,19149,16884,13560,10797,6373,4785,4835,8.2,7.3,7.8,7.6,7.8,9,7.6,7,6.2,5.4,5,5.3,4.7,3.7,3,1.8,1.3,1.3
Bexar,Texas,138444,140553,143412,143335,145250,163407,157272,147067,128009,124817,111844,110327,101989,84378,63761,44125,26121,29443,6.9,7,7.2,7.2,7.2,8.2,7.8,7.3,6.4,6.2,5.6,5.5,5.1,4.2,3.2,2.2,1.3,1.5
Bowie,Texas,5702,6122,6580,5736,6209,6535,5400,6439,4283,6507,6744,5924,5381,4643,4336,2699,1835,2170,6.1,6.6,7.1,6.2,6.7,7,5.8,6.9,4.6,7,7.2,6.4,5.8,5,4.7,2.9,2,2.3
Brazoria,Texas,24692,24937,31794,25085,21945,24360,26162,31507,24672,28221,21782,24674,19726,14973,13208,8074,3941,4511,6.6,6.7,8.5,6.7,5.9,6.5,7,8.4,6.6,7.5,5.8,6.6,5.3,4,3.5,2.2,1.1,1.2
Brazos,Texas,14122,13884,12283,21933,42908,20144,14564,14762,12483,10268,10770,9933,9505,7683,5393,3496,2217,2863,6.2,6.1,5.4,9.6,18.7,8.8,6.4,6.4,5.4,4.5,4.7,4.3,4.1,3.4,2.4,1.5,1,1.2
Cameron,Texas,32802,33355,38141,36223,30982,28848,24449,23961,26734,25064,22518,21184,20204,18094,15018,10727,7334,7525,7.8,7.9,9,8.6,7.3,6.8,5.8,5.7,6.3,5.9,5.3,5,4.8,4.3,3.5,2.5,1.7,1.8
Collin,Texas,62812,70271,83614,74256,59653,62502,69824,79467,84898,82904,71110,62419,54425,42675,30288,20520,13370,9722,6.1,6.8,8.1,7.2,5.8,6,6.7,7.7,8.2,8,6.9,6,5.3,4.1,2.9,2,1.3,0.9
Comal,Texas,8892,9379,10544,9362,8789,8550,9796,7603,11081,11092,10106,12098,10643,10079,7710,5453,2223,2809,5.7,6,6.7,6,5.6,5.5,6.3,4.9,7.1,7.1,6.5,7.7,6.8,6.5,4.9,3.5,1.4,1.8
Coryell,Texas,5210,4804,4790,5313,7008,7159,7152,5657,4360,5241,4601,3684,2875,2413,2169,1395,1105,1015,6.9,6.3,6.3,7,9.2,9.4,9.4,7.4,5.7,6.9,6.1,4.9,3.8,3.2,2.9,1.8,1.5,1.3
Dallas,Texas,192378,173181,204987,178256,181987,228789,209336,186884,173411,167053,156534,155543,135433,99868,78757,48770,31695,32654,7.3,6.6,7.8,6.8,6.9,8.7,7.9,7.1,6.6,6.3,5.9,5.9,5.1,3.8,3,1.9,1.2,1.2
Denton,Texas,54426,57974,64242,63793,57520,64301,66851,69626,66171,68199,58948,60010,41070,34035,26448,16896,8931,7766,6.1,6.5,7.2,7.2,6.5,7.2,7.5,7.8,7.5,7.7,6.6,6.8,4.6,3.8,3,1.9,1,0.9
Ector,Texas,14731,16102,12125,11420,11174,15031,13798,12284,10352,8575,8565,8406,7791,5489,3885,3009,1523,1963,8.9,9.7,7.3,6.9,6.7,9,8.3,7.4,6.2,5.2,5.2,5.1,4.7,3.3,2.3,1.8,0.9,1.2
Ellis,Texas,12252,13352,14540,13461,12159,10602,12197,13773,11236,12453,11647,11907,11978,9586,4673,4097,2823,2090,6.6,7.2,7.9,7.3,6.6,5.7,6.6,7.5,6.1,6.7,6.3,6.4,6.5,5.2,2.5,2.2,1.5,1.1
El Paso,Texas,60324,63545,63005,63700,68413,68844,58503,54288,49329,51411,45382,44954,42203,33613,26967,17843,12641,14273,7.2,7.6,7.5,7.6,8.2,8.2,7,6.5,5.9,6.1,5.4,5.4,5,4,3.2,2.1,1.5,1.7
Fort Bend,Texas,54176,63207,64826,58871,47712,45177,50773,59919,63922,61680,52111,45220,49895,36507,25820,16760,8008,7104,6.7,7.8,8,7.3,5.9,5.6,6.3,7.4,7.9,7.6,6.4,5.6,6.1,4.5,3.2,2.1,1,0.9
Galveston,Texas,21571,22220,23769,24048,19397,22498,24232,20272,23491,24106,19833,22987,22533,18372,13368,9195,5487,4760,6.3,6.5,6.9,7,5.7,6.6,7.1,5.9,6.9,7,5.8,6.7,6.6,5.4,3.9,2.7,1.6,1.4
Grayson,Texas,8197,9099,9735,8470,8865,8022,6991,8210,9035,7541,8239,9608,8963,7938,6150,4710,3269,3170,6,6.7,7.1,6.2,6.5,5.9,5.1,6,6.6,5.5,6,7.1,6.6,5.8,4.5,3.5,2.4,2.3
Gregg,Texas,8459,9159,8566,9040,7498,9449,7826,8604,7464,6873,6518,7080,7675,6500,5115,3279,2605,2235,6.8,7.4,6.9,7.3,6,7.6,6.3,6.9,6,5.5,5.3,5.7,6.2,5.2,4.1,2.6,2.1,1.8
Guadalupe,Texas,10072,13024,11223,11452,9987,9974,11631,12245,11765,10917,11294,10266,9815,7327,6581,4030,3131,2113,6,7.8,6.7,6.9,6,6,7,7.3,7.1,6.5,6.8,6.2,5.9,4.4,3.9,2.4,1.9,1.3
Harris,Texas,347946,331636,363057,324706,312491,379786,373801,359813,315460,307302,276211,257716,249484,186635,135089,92014,52854,47324,7.4,7,7.7,6.9,6.6,8.1,7.9,7.6,6.7,6.5,5.9,5.5,5.3,4,2.9,2,1.1,1
Harrison,Texas,3091,5128,5938,3859,4127,3893,4218,3449,4258,3923,4202,4901,3536,3997,2883,2247,1461,1442,4.6,7.7,8.9,5.8,6.2,5.8,6.3,5.2,6.4,5.9,6.3,7.4,5.3,6,4.3,3.4,2.2,2.2
Hays,Texas,13802,13578,16685,21717,25164,15986,15930,16766,15108,14077,11961,12338,11422,8910,7685,3335,3742,1985,6,5.9,7.2,9.4,10.9,6.9,6.9,7.3,6.6,6.1,5.2,5.4,5,3.9,3.3,1.4,1.6,0.9
Henderson,Texas,3828,4381,5384,5461,4365,5021,4951,3525,5060,4102,5306,5162,6622,5530,5834,3438,2917,1850,4.6,5.3,6.5,6.6,5.3,6.1,6,4.3,6.1,5,6.4,6.2,8,6.7,7.1,4.2,3.5,2.2
Hidalgo,Texas,74973,71491,85644,76350,67002,62099,54562,51322,57119,52349,43801,36459,36756,30070,25126,19863,12875,10846,8.6,8.2,9.9,8.8,7.7,7.1,6.3,5.9,6.6,6,5,4.2,4.2,3.5,2.9,2.3,1.5,1.2
Hunt,Texas,6282,6659,6734,7332,6523,5419,6108,5097,6638,5336,6469,6215,8469,4753,3688,2988,2610,1274,6.4,6.8,6.8,7.4,6.6,5.5,6.2,5.2,6.7,5.4,6.6,6.3,8.6,4.8,3.7,3,2.6,1.3
Jefferson,Texas,17118,18169,15748,15328,17549,18621,17443,16808,15708,15008,14585,15745,17393,11731,9098,6798,4230,4485,6.8,7.2,6.3,6.1,7,7.4,6.9,6.7,6.2,6,5.8,6.3,6.9,4.7,3.6,2.7,1.7,1.8
Johnson,Texas,10994,10911,15582,12169,11337,10595,11469,12289,10691,12030,10517,11449,10777,7356,6906,4872,3837,2036,6.3,6.2,8.9,6.9,6.4,6,6.5,7,6.1,6.8,6,6.5,6.1,4.2,3.9,2.8,2.2,1.2
Kaufman,Texas,9868,12140,9483,10730,8171,7037,10437,12153,8195,8509,7859,7403,7325,5494,5116,2807,1519,1908,7.2,8.9,7,7.9,6,5.2,7.7,8.9,6,6.2,5.8,5.4,5.4,4,3.8,2.1,1.1,1.4
Liberty,Texas,6435,4647,9242,6409,4214,7222,5866,6791,4650,6349,4591,4655,4567,4338,3033,2171,1510,1529,7.3,5.3,10.5,7.3,4.8,8.2,6.6,7.7,5.3,7.2,5.2,5.3,5.2,4.9,3.4,2.5,1.7,1.7
Lubbock,Texas,20631,19320,21481,26929,36221,25859,20177,22335,14838,15386,15707,16598,16252,13085,9500,7930,4362,3958,6.6,6.2,6.9,8.7,11.7,8.3,6.5,7.2,4.8,5,5.1,5.3,5.2,4.2,3.1,2.6,1.4,1.3
McLennan,Texas,17398,15767,19105,21981,25747,17336,14938,15847,14742,13929,13476,14040,14474,11948,9463,7733,3624,5075,6.8,6.1,7.4,8.6,10,6.8,5.8,6.2,5.7,5.4,5.3,5.5,5.6,4.7,3.7,3,1.4,2
Midland,Texas,16037,14800,13246,12581,9202,15419,15202,16369,10259,7871,8701,10378,8468,6233,3835,2539,1667,4025,9.1,8.4,7.5,7.1,5.2,8.7,8.6,9.3,5.8,4.5,4.9,5.9,4.8,3.5,2.2,1.4,0.9,2.3
Montgomery,Texas,40303,41535,50191,42187,34561,37666,38043,37844,47459,42450,39194,40384,34263,28977,22434,12972,8857,8071,6.6,6.8,8.3,6.9,5.7,6.2,6.3,6.2,7.8,7,6.5,6.6,5.6,4.8,3.7,2.1,1.5,1.3
Nacogdoches,Texas,4349,3799,4407,6693,6971,5394,2817,3536,3587,2741,3712,3482,4055,3198,2492,1523,1383,1065,6.7,5.8,6.8,10.3,10.7,8.3,4.3,5.4,5.5,4.2,5.7,5.3,6.2,4.9,3.8,2.3,2.1,1.6
Nueces,Texas,24287,23038,25444,26527,24178,26547,25484,25677,22138,20775,20317,22762,20762,18142,14172,10529,5731,5784,6.7,6.4,7,7.3,6.7,7.3,7,7.1,6.1,5.7,5.6,6.3,5.7,5,3.9,2.9,1.6,1.6
Orange,Texas,5540,6673,4475,5524,4558,5318,6880,5022,4375,4891,5380,5453,5788,4523,3149,3179,1477,1191,6.6,8,5.4,6.6,5.5,6.4,8.2,6,5.2,5.9,6.5,6.5,6.9,5.4,3.8,3.8,1.8,1.4
Parker,Texas,8649,10119,10083,10406,8399,7078,8565,7920,10345,8885,10305,9690,9995,6108,7700,3800,2286,2545,6.1,7.1,7.1,7.3,5.9,5,6,5.5,7.2,6.2,7.2,6.8,7,4.3,5.4,2.7,1.6,1.8
Potter,Texas,8717,7923,10201,7967,8272,8599,8305,7735,7690,7193,6533,6317,6191,5685,3700,2485,2091,1811,7.4,6.7,8.7,6.8,7,7.3,7.1,6.6,6.5,6.1,5.6,5.4,5.3,4.8,3.2,2.1,1.8,1.5
Randall,Texas,8637,10194,8955,9838,9594,9096,9823,9577,9461,8989,6578,7162,8066,7881,4868,4182,2209,2603,6.3,7.4,6.5,7.1,7,6.6,7.1,7,6.9,6.5,4.8,5.2,5.9,5.7,3.5,3,1.6,1.9
Rockwall,Texas,6292,7182,9409,8427,4293,5461,6164,9456,7243,7372,7568,6584,6610,4666,3420,2804,1190,774,6,6.8,9,8,4.1,5.2,5.9,9,6.9,7,7.2,6.3,6.3,4.4,3.3,2.7,1.1,0.7
San Patricio,Texas,4732,4305,5663,4974,4102,3967,4123,4952,4210,4336,3346,4401,3299,3971,2642,1747,740,1220,7.1,6.5,8.5,7.5,6.1,5.9,6.2,7.4,6.3,6.5,5,6.6,4.9,6,4,2.6,1.1,1.8
Smith,Texas,15465,16398,15473,16897,15785,16567,15757,15552,11911,13973,11300,16058,12397,11320,9779,6877,6114,5128,6.6,7,6.6,7.3,6.8,7.1,6.8,6.7,5.1,6,4.9,6.9,5.3,4.9,4.2,3,2.6,2.2
Tarrant,Texas,143690,146541,163248,151338,139543,158457,154986,150685,138385,138531,129333,127444,115656,82380,67564,44017,24908,25809,6.8,7,7.8,7.2,6.6,7.5,7.4,7.2,6.6,6.6,6.2,6.1,5.5,3.9,3.2,2.1,1.2,1.2
Taylor,Texas,9945,8155,10510,11068,13482,10769,9254,8318,8364,5805,6856,7725,7380,7006,4451,3944,2620,2382,7.2,5.9,7.6,8,9.8,7.8,6.7,6,6.1,4.2,5,5.6,5.3,5.1,3.2,2.9,1.9,1.7
Tom Green,Texas,7977,7308,7975,8969,10474,9139,7898,7140,8201,5888,5909,6999,7041,5795,4734,2747,2538,2468,6.7,6.1,6.7,7.5,8.8,7.7,6.6,6,6.9,4.9,5,5.9,5.9,4.9,4,2.3,2.1,2.1
Travis,Texas,76769,71732,78262,77037,81524,128258,128993,111850,93857,88039,74390,68325,65480,49962,33709,18964,12993,13810,6,5.6,6.1,6,6.4,10.1,10.1,8.8,7.4,6.9,5.8,5.4,5.1,3.9,2.6,1.5,1,1.1
Victoria,Texas,6011,6904,6097,6932,6879,5164,5777,6178,4899,5378,5330,6029,5592,4272,4303,2888,1947,1504,6.5,7.5,6.6,7.5,7.5,5.6,6.3,6.7,5.3,5.8,5.8,6.5,6.1,4.6,4.7,3.1,2.1,1.6
