id,county,state,age,total,percent
0500000US01051,Elmore County, Alabama,60 to 64 ,6325,7.8
0500000US01051,Elmore County, Alabama,65 to 69 ,3524,4.3
0500000US01051,Elmore County, Alabama,70 to 74 ,4221,5.2
0500000US01051,Elmore County, Alabama,75 to 79 ,2330,2.9
0500000US01051,Elmore County, Alabama,80 to 84 ,1532,1.9
0500000US01051,Elmore County, Alabama,85  and over,1154,1.4
0500000US01055,Etowah County, Alabama,under 5 ,5649,5.5
0500000US01055,Etowah County, Alabama,5 to 9 ,5923,5.8
0500000US01055,Etowah County, Alabama,10 to 14 ,7428,7.3
0500000US01055,Etowah County, Alabama,15 to 19 ,5108,5
0500000US01055,Etowah County, Alabama,20 to 24 ,6416,6.3
0500000US01055,Etowah County, Alabama,25 to 29 ,6376,6.2
0500000US01055,Etowah County, Alabama,30 to 34 ,5910,5.8
0500000US01055,Etowah County, Alabama,35 to 39 ,5422,5.3
0500000US01055,Etowah County, Alabama,40 to 44 ,6512,6.4
0500000US01055,Etowah County, Alabama,45 to 49 ,6854,6.7
0500000US01055,Etowah County, Alabama,50 to 54 ,6729,6.6
0500000US01055,Etowah County, Alabama,55 to 59 ,6472,6.3
0500000US01055,Etowah County, Alabama,60 to 64 ,7475,7.3
0500000US01055,Etowah County, Alabama,65 to 69 ,6404,6.3
0500000US01055,Etowah County, Alabama,70 to 74 ,4954,4.8
0500000US01055,Etowah County, Alabama,75 to 79 ,3497,3.4
0500000US01055,Etowah County, Alabama,80 to 84 ,2904,2.8
0500000US01055,Etowah County, Alabama,85  and over,2235,2.2
0500000US01069,Houston County, Alabama,under 5 ,6637,6.3
0500000US01069,Houston County, Alabama,5 to 9 ,5847,5.5
0500000US01069,Houston County, Alabama,10 to 14 ,7545,7.1
0500000US01069,Houston County, Alabama,15 to 19 ,6623,6.3
0500000US01069,Houston County, Alabama,20 to 24 ,5776,5.5
0500000US01069,Houston County, Alabama,25 to 29 ,7228,6.8
0500000US01069,Houston County, Alabama,30 to 34 ,6640,6.3
0500000US01069,Houston County, Alabama,35 to 39 ,5985,5.7
0500000US01069,Houston County, Alabama,40 to 44 ,7229,6.8
0500000US01069,Houston County, Alabama,45 to 49 ,6698,6.3
0500000US01069,Houston County, Alabama,50 to 54 ,6382,6
0500000US01069,Houston County, Alabama,55 to 59 ,7868,7.4
0500000US01069,Houston County, Alabama,60 to 64 ,6403,6
0500000US01069,Houston County, Alabama,65 to 69 ,5485,5.2
0500000US01069,Houston County, Alabama,70 to 74 ,5645,5.3
0500000US01069,Houston County, Alabama,75 to 79 ,3502,3.3
0500000US01069,Houston County, Alabama,80 to 84 ,2339,2.2
0500000US01069,Houston County, Alabama,85  and over,2050,1.9
0500000US01073,Jefferson County, Alabama,under 5 ,42248,6.4
0500000US01073,Jefferson County, Alabama,5 to 9 ,39554,6
0500000US01073,Jefferson County, Alabama,10 to 14 ,43536,6.6
0500000US01073,Jefferson County, Alabama,15 to 19 ,40545,6.2
0500000US01073,Jefferson County, Alabama,20 to 24 ,40872,6.2
0500000US01073,Jefferson County, Alabama,25 to 29 ,49439,7.5
0500000US01073,Jefferson County, Alabama,30 to 34 ,46038,7
0500000US01073,Jefferson County, Alabama,35 to 39 ,42775,6.5
0500000US01073,Jefferson County, Alabama,40 to 44 ,41417,6.3
0500000US01073,Jefferson County, Alabama,45 to 49 ,39800,6
0500000US01073,Jefferson County, Alabama,50 to 54 ,38426,5.8
0500000US01073,Jefferson County, Alabama,55 to 59 ,41062,6.2
0500000US01073,Jefferson County, Alabama,60 to 64 ,44565,6.8
0500000US01073,Jefferson County, Alabama,65 to 69 ,36728,5.6
0500000US01073,Jefferson County, Alabama,70 to 74 ,28257,4.3
0500000US01073,Jefferson County, Alabama,75 to 79 ,16772,2.5
0500000US01073,Jefferson County, Alabama,80 to 84 ,14253,2.2
0500000US01073,Jefferson County, Alabama,85  and over,12286,1.9
0500000US01077,Lauderdale County, Alabama,under 5 ,3962,4.3
0500000US01077,Lauderdale County, Alabama,5 to 9 ,3711,4
0500000US01077,Lauderdale County, Alabama,10 to 14 ,6862,7.4
0500000US01077,Lauderdale County, Alabama,15 to 19 ,6361,6.9
0500000US01077,Lauderdale County, Alabama,20 to 24 ,7566,8.2
0500000US01077,Lauderdale County, Alabama,25 to 29 ,5507,5.9
0500000US01077,Lauderdale County, Alabama,30 to 34 ,5326,5.7
0500000US01077,Lauderdale County, Alabama,35 to 39 ,6541,7.1
0500000US01077,Lauderdale County, Alabama,40 to 44 ,4056,4.4
0500000US01077,Lauderdale County, Alabama,45 to 49 ,5082,5.5
0500000US01077,Lauderdale County, Alabama,50 to 54 ,5927,6.4
0500000US01077,Lauderdale County, Alabama,55 to 59 ,5949,6.4
0500000US01077,Lauderdale County, Alabama,60 to 64 ,6655,7.2
0500000US01077,Lauderdale County, Alabama,65 to 69 ,6842,7.4
0500000US01077,Lauderdale County, Alabama,70 to 74 ,4421,4.8
