age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
44,Male,Unknown race,Trigg County Sheriff's Department,Pending investigation,2020,10,28,Trigg County,KY,Trigg,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Unknown race,Chattanooga Police Department,Pending investigation,2020,10,27,Chattanooga,TN,NA,Gunshot,No known charges,No,35.0657,-85.2488,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Herriman Police Department,Pending investigation,2020,10,27,Herriman,UT,NA,Gunshot,No known charges,No,40.4899,-112.0171,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Unknown race,Alexandria Police Department,Pending investigation,2020,10,26,Alexandria,VA,NA,Gunshot,No known charges,No,38.8185,-77.0861,Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Black,Philadelphia Police Department,Pending investigation,2020,10,26,Philadelphia,PA,NA,Gunshot,No known charges,Yes,40.0077,-75.1339,Pennsylvania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,25,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Sylvester Police Department,Pending investigation,2020,10,24,Sylvester,GA,NA,Gunshot,No known charges,No,31.53,-83.8338,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Male,Unknown race,Lawrenceburg Police Department,Pending investigation,2020,10,24,Lawrenceburg,IN,Dearborn,Gunshot,No known charges,No,39.0986,-84.8713,Indiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,unknown race,Weber County Sheriff's Office; Morgan County Sheriff's Office,Pending investigation,2020,10,23,Huntsville,UT,NA,Gunshot,No known charges,No,41.2602,-111.7741,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Unknown race,Chicago Police Department,Pending investigation,2020,10,23,Chicago,IL,NA,Gunshot,No known charges,No,41.8373,-87.6862,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,Male,Unknown race,Marinette County Sheriff's Office,Pending investigation,2020,10,23,Goodman,WI,NA,Gunshot,No known charges,No,45.6231,-88.3518,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,Unknown race,Kansas Highway Patrol; Montgomery County Sheriff's Department,Pending investigation,2020,10,23,Coffeyville,KS,Montgomery,Gunshot,No known charges,No,37.0518,-95.618,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Male,Unknown race,Roane County Sheriff's Department,Pending investigation,2020,10,22,Roane County,WV,Roane,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Male,Unknown race,Anchorage Police Department,Pending investigation,2020,10,22,Eagle River,AK,NA,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Male,Black,San Bernardino Police Department,Pending investigation,2020,10,22,San Bernardino,CA,NA,Gunshot,No known charges,No,34.1417,-117.2946,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,Hispanic,Casa Grande Police Department,Pending investigation,2020,10,22,Casa Grande,AZ,Pinal,Gunshot,No known charges,No,32.9068,-111.7624,Arizona,0500000US04021,153413,4.2,3.1,8.2,8.1,14.6,21.7,14.6,16.1,5.6,3.9,62057,78763,16706,Middle
35,Male,Unknown race,Manatee County Sheriff's Office,Pending investigation,2020,10,21,Bradenton,FL,Manatee,Gunshot,No known charges,No,27.49,-82.5739,Florida,0500000US12081,145171,3.9,2.6,9.3,8.9,13.7,17.9,13.4,16.4,5.8,8.1,64499,92213,27714,Middle
45,Male,Black,Moss Point Police Department,Pending investigation,2020,10,21,Moss Point,MS,Jackson,Gunshot,No known charges,No,30.424,-88.5289,Mississippi,0500000US28059,56323,3.7,4.6,10,13.5,15.1,16.9,14.1,13.3,4.5,4.1,52476,76123,23647,Very Low
NA,Male,Unknown race,Escambia County Sheriff's Office,Pending investigation,2020,10,20,Perdido Key,FL,Escambia,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,Male,Unknown race,Hernando County Sheriff's Office,Pending investigation,2020,10,20,Spring Hill,FL,Hernando,Gunshot,No known charges,No,28.4797,-82.53,Florida,0500000US12053,78755,6,5.6,11.2,9.9,16.1,20.2,12.2,13.1,3.7,2.1,51031,62821,11790,Very Low
48,Male,Black,Elmwood Place Police Department,Pending investigation,2020,10,20,Elmwood Place,OH,Hamilton,Gunshot,No known charges,No,39.1855,-84.489,Ohio,0500000US39061,347235,7.7,4.2,9.9,8.8,10.7,16.8,11.2,15.5,6.9,8.4,60198,89581,29383,Middle
NA,Male,Unknown race,Phoenix Police Department,Pending investigation,2020,10,20,Phoenix,AZ,NA,Gunshot,No known charges,No,33.5722,-112.0891,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Male,Black,Waukegan Police Department,Pending investigation,2020,10,20,Waukegan,IL,NA,Gunshot,No known charges,No,42.3697,-87.8716,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Frederick County Sheriff's Department,Pending investigation,2020,10,19,Emmitsburg,MD,Frederick,Gunshot,No known charges,No,39.7051,-77.3216,Maryland,0500000US24021,93768,1.8,2.1,3.4,4.8,8.9,13.8,13,25,13.4,13.8,103516,122496,18980,Very High
46,Male,Unknown race,Suffolk County Police Department,Pending investigation,2020,10,19,Coram,NY,Suffolk,Gunshot,No known charges,No,40.8813,-73.0059,New York,0500000US36103,499744,2.9,1.9,4.5,4.7,7.5,13.1,12,21.1,13.3,18.9,106228,138724,32496,Very High
43,Male,Unknown race,South Milwaukee Police Department,Pending investigation,2020,10,19,South Milwaukee,WI,NA,Gunshot,No known charges,Yes,42.912,-87.8627,Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Male,Unknown race,Tooele Police Department,Pending investigation,2020,10,18,Tooele,UT,NA,Gunshot,No known charges,No,40.5393,-112.3082,Utah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Male,White,Fresno Police Department,Pending investigation,2020,10,18,Fresno,CA,NA,Gunshot,No known charges,No,36.7831,-119.7941,California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Male,Unknown race,Sunrise Police Department,Pending investigation,2020,10,18,Sunrise,FL,NA,Gunshot,No known charges,Yes,26.1547,-80.2997,Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,Unknown race,Wood County Sheriff's Department,Pending investigation,2020,10,17,Wood County,WV,Wood,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,Male,Unknown race,"Greenville Police Department, Kentucky State Troopers",Pending investigation,2020,10,17,Muhlenberg County,KY,NA,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,"New Mexico State Police, Pueblo of Laguna Police Department",Pending investigation,2020,10,17,Laguna,NM,NA,Gunshot,No known charges,No,35.0504,-107.4071,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Male,Black,Rock Island Police Department,Pending investigation,2020,10,16,Rock Island,IL,NA,Gunshot,No known charges,No,41.4699,-90.5827,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Male,Black,Los Angeles County Sheriff's Department,Pending investigation,2020,10,16,Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,34.1139,-118.4068,California,0500000US06037,3328398,5.4,4.3,7.5,7.3,10.5,16.2,12.4,16.8,8.4,11.3,72797,104063,31266,High
57,Male,Unknown race,Huntsville Police Department,Pending investigation,2020,10,16,Huntsville,AL,NA,Gunshot,No known charges,No,34.6988,-86.6412,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Sioux Falls Police Department,Pending investigation,2020,10,16,Sioux Falls,SD,NA,Gunshot,No known charges,No,43.5397,-96.732,South Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Cherokee County Sheriff's Department,Pending investigation,2020,10,14,Cookson,OK,Cherokee,"Gunshot, Taser",No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Unknown race,Los Angeles Police Department,Pending investigation,2020,10,14,South Los Angeles,CA,Los Angeles,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,White,Chico Police Department,Pending investigation,2020,10,14,Chico,CA,Butte,"Gunshot, Taser",No known charges,No,39.7575,-121.8152,California,0500000US06007,77651,6.2,5.7,9.1,10.5,10.3,16.7,13.6,14,5.2,8.7,62563,91685,29122,Middle
27,Male,Hispanic,Bakersfield Police Department,Pending investigation,2020,10,13,Bakersfield,CA,Kern,Gunshot,No known charges,No,35.3529,-119.0359,California,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low
24,Male,NA,NA,Pending investigation,2020,10,12,Bethel Springs,TN,McNairy,Gunshot,No known charges,No,35.2341,-88.6131,Tennessee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,NA,Billings Police Department,Pending investigation,2020,10,12,Billings,MT,Yellowstone,Gunshot,No known charges,No,45.7891,-108.5524,Montana,0500000US30111,69989,4.1,3.4,12.4,7.5,12.8,19.9,11.8,14.5,7.2,6.3,61186,88264,27078,Middle
29,Male,Unknown race,Mohave County Sheriff's Office,Pending investigation,2020,10,10,Kingman,AZ,Mojave,Gunshot,No known charges,NA,35.217,-114.0105,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Male,Hispanic,San Francisco Police Department,Pending investigation,2020,10,10,San Francisco,CA,San Francisco,Gunshot,No known charges,No,37.7562,-122.443,California,0500000US06075,365851,4,5.1,4.8,4.2,5.8,10.2,8.2,15,11.9,30.7,123859,173858,49999,Very High
41,Female,White,Horry County Police Department,Pending investigation,2020,10,9,Myrtle Beach,SC,Horry,Gunshot,No known charges,Yes,33.7096,-78.8843,South Carolina,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low
29,Male,White,"Kansas Bureau of Investigation, Kansas Highway Patrol",Pending investigation,2020,10,9,Salina,KS,Saline,Gunshot,No known charges,No,38.8137,-97.6143,Kansas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,Unknown race,Houston Police Department,Pending investigation,2020,10,9,Houston,TX,Harris,Gunshot,No known charges,No,29.7863,-95.3889,Texas,0500000US48201,1647384,6.1,3.4,8.8,9.2,12.7,18.1,12,14.1,6.8,8.9,61618,92488,30870,Middle
25,Male,White,Pine County Sheriff's Office,Pending investigation,2020,10,9,Hinkley,MN,Pine,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Male,Black,New York Police Department,Pending investigation,2020,10,8,Queens,NY,Queens,Gunshot,No known charges,No,40.7498,-73.7976,New York,0500000US36081,784552,5.6,3.7,6.6,7.9,10.5,16.3,12.9,17.8,9.5,9.3,73696,96631,22935,High
29,Male,White,Stockton Police Department,Pending investigation,2020,10,8,Stockton,CA,San Joaquin,Physical Restraint,No known charges,NA,37.9765,-121.3109,California,0500000US06077,230241,4.5,3.2,8,8.4,11.1,18.9,12.3,16.9,9,7.8,68997,92484,23487,High
47,Male,Unknown race,Martin County Sheriff's Office,Pending investigation,2020,10,8,Palm City,FL,Martin,Gunshot,No known charges,Yes,27.1736,-80.2861,Florida,0500000US12085,65014,4.3,3.5,7.4,9.1,11.7,15.7,14.7,16.1,7.5,10,70842,110379,39537,High
62,Male,White,Cumberland County Sheriff's Office,Pending investigation,2020,10,6,Fayetteville,NC,Cumberland,Gunshot,No known charges,Yes,35.0846,-78.9776,North Carolina,0500000US37051,128135,9,5.1,10.8,11.7,17.9,17.6,11.2,11.3,3.2,2.3,46292,61315,15023,Very Low
48,Female,White,Nassau County Sheriff's Office,Pending investigation,2020,10,6,Hillard,FL,Nassau,Gunshot,No known charges,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Male,Unknown race,Scott County Sheriff's Office,Pending investigation,2020,10,6,Georgetown,KY,Scott,Gunshot,No known charges,No,38.2249,-84.5482,Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Male,Unknown race,Napa County Sheriff's Office,Pending investigation,2020,10,5,Napa,CA,Napa,Gunshot,No known charges,No,38.2976,-122.3011,California,0500000US06055,48107,3.4,3.2,3.7,4,10.7,14.1,14.1,17.5,11.3,17.9,92769,130499,37730,Very High
27,Male,Hispanic,Dona Ana County Sheriff's Office,Pending investigation,2020,10,4,Las Cruces,NM,Dona Ana,Gunshot,No known charges,No,32.3265,-106.7892,New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Male,Black,Philadelphia Police Department,Pending investigation,2020,10,8,Philadelphia,PA,Philadelphia,Gunshot,No known charges,No,40.0077,-75.1339,Pennsylvania,0500000US42101,619505,12.2,6.6,9.7,9.9,13.3,16.3,10.8,10.5,5.1,5.7,47474,72748,25274,Very Low
41,Male,Unknown race,Vancouver Police Department,Pending investigation,2020,10,4,Vancouver,WA,Clark,Gunshot,No known charges,No,45.6366,-122.5967,Washington,0500000US53011,180862,3.1,2.4,6,6.4,11.2,17.3,15.6,21,8.6,8.4,80555,99612,19057,Very High
30,Male,Unknown race,California Highway Patrol,Pending investigation,2020,10,4,Chula Vista,CA,San Diego,Gunshot,No known charges,No,32.6281,-117.0145,California,0500000US06073,1132434,4.1,3.3,6,6.3,9.8,15.3,13.4,18.8,9.7,13.3,83985,112786,28801,Very High
31,Male,Black,Wolfe City Police Department,Charged with murder,2020,10,3,Wolfe City,TX,Hunt,"Gunshot, Taser",Charged with a crime,No,33.3687,-96.072,Texas,0500000US48231,35093,7,3.5,10.9,9.4,10.5,22.6,13.8,12.9,5.2,4.2,58063,70814,12751,Low
20,Male,Unknown race,Myrtle Beach Police Department,Pending investigation,2020,10,3,Myrtle Beach,SC,Horry,Gunshot,No known charges,No,33.7096,-78.8843,South Carolina,0500000US45051,140260,4.6,3.9,8.9,11.3,16.8,22.1,12.7,11.9,4.2,3.6,53694,70581,16887,Very Low
38,Male,White,Leon County Sheriff's Office,Pending investigation,2020,10,2,Tallahassee,FL,Leon,Gunshot,No known charges,No,30.4551,-84.2526,Florida,0500000US12073,116283,9.2,5.3,9.3,10,11.6,19.3,11,13.2,5.2,6,54929,75969,21040,Very Low
39,Male,Unknown race,Kern County Sheriff's Office,Pending investigation,2020,10,2,Mojave,CA,Kern,Gunshot,No known charges,No,35.0139,-118.1895,California,0500000US06029,272888,5.6,6.4,11.7,10.1,13.3,17.3,10.3,13.8,6.4,5.1,53067,75669,22602,Very Low
33,Male,White,Cowlitz County Sheriff's Office,Pending investigation,2020,10,2,Longview,WA,Cowlitz,Gunshot,No known charges,No,46.1461,-122.9629,Washington,0500000US53015,42790,5.7,3.9,9.4,11.3,14.5,19.4,14.3,11.6,5.6,4.4,55497,75014,19517,Low
46,Male,Hispanic,Fresno Police Department,Pending investigation,2020,10,2,Fresno,CA,Fresno,"Gunshot, Taser",No known charges,No,36.7831,-119.7941,California,0500000US06019,315974,7.7,5.3,9.7,10.1,11.5,17,12.4,14.4,6.4,5.4,57518,76573,19055,Low
NA,Unknown,Unknown race,Raleigh County Sheriff's Office,Pending investigation,2020,10,1,Coal City,WV,Raleigh,Gunshot,No known charges,No,37.6776,-81.218,West Virginia,0500000US54081,31331,8.3,6.4,16.1,10.6,11.3,14,17.9,11,1.3,3.1,46540,63432,16892,Very Low
41,Male,White,Riley County Police Department,Pending investigation,2020,9,30,Manhattan,KS,Riley,Gunshot,No known charges,Yes,39.1886,-96.6046,Kansas,0500000US20161,25662,7,5.4,14.5,8.1,13.8,21.8,9.8,11.9,4.2,3.6,50920,66449,15529,Very Low
27,Male,Black,"DeKalb County Sheriff’s Office, US Marshals",Pending investigation,2020,9,30,Decatur,GA,DeKalb,Gunshot,No known charges,No,33.7711,-84.2968,Georgia,0500000US13089,289829,5.6,3.3,8.5,9.4,13.1,17.1,12.7,13.3,6.5,10.5,63652,94336,30684,Middle
27,Male,Unknown race,"St. Cloud Police Department, U.S. Bureau of Alcohol Tobacco Firearms and Explosives, St. Paul Police Department",Pending investigation,2020,9,29,St. Cloud,MN,Stearns,Gunshot,No known charges,No,45.5339,-94.1718,Minnesota,0500000US27145,59776,3.6,4.1,7.4,9.7,11.5,20.6,15.5,15.6,7.7,4.2,66558,82412,15854,High
57,Male,Black,Jefferson Parish Sheriff's Office,Pending investigation,2020,9,28,Waggaman,LA,Jefferson,Gunshot,No known charges,No,29.9373,-90.2354,Louisiana,0500000US22051,171991,6.2,4.8,9.9,11.2,12.7,18.7,12,14.7,5.1,4.8,56069,74204,18135,Low
18,Male,Hispanic,San Bernardino County Sheriff's Office,Pending investigation,2020,9,28,Victorville,CA,San Bernardino,Gunshot,No known charges,No,34.5277,-117.3536,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High
NA,Male,Unknown race,Stanislaus County Sheriff's Office,Pending investigation,2020,9,27,Modesto,CA,Stanislaus,Gunshot,No known charges,No,37.6374,-121.0028,California,0500000US06099,174698,4.7,3.9,7.8,9.4,13.2,18.8,13.8,16.9,6.1,5.2,63037,79840,16803,Middle
43,Male,Unknown race,Dearborn Police Department,Pending investigation,2020,9,27,Dearborn,MI,Wayne,Gunshot,No known charges,No,42.3127,-83.2129,Michigan,0500000US26163,689270,10,5.1,10.3,10.5,13.3,18.2,10.9,12.2,4.9,4.6,50753,70465,19712,Very Low
21,Male,Hispanic,Mesa Police Department,Pending investigation,2020,9,25,Tempe,AZ,Maricopa,Gunshot,No known charges,Unknown,33.3881,-111.9318,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
43,Male,White,Spokane Police Department,Pending investigation,2020,9,24,Spokane,WA,Spokane,Gunshot,No known charges,No,47.6671,-117.433,Washington,0500000US53063,211723,5.8,4.3,8.3,8.9,14.1,20,12.7,13.5,7.3,5.1,59974,80940,20966,Low
NA,Male,Unknown race,Riverside County Sheriff's Department,Pending investigation,2020,9,24,La Quinta,CA,Riverside,Gunshot,No known charges,No,33.6536,-116.2785,California,0500000US06065,734948,5,3.7,7.2,6.9,11,17.2,13.5,18.4,8.6,8.4,73260,95564,22304,High
38,Male,White,San Luis Obispo County Sheriff's Office,Pending investigation,2020,9,24,Paso Robles,CA,San Luis,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Male,White,Highlands County Sheriff's Office,Pending investigation,2020,9,24,Sebring,FL,Highlands,Gunshot,No known charges,No,27.477,-81.453,Florida,0500000US12055,43351,7.2,6,11.3,8.2,18.2,22.2,11.2,10.1,3.3,2.4,48698,65399,16701,Very Low
29,Male,Unknown race,LaSalle Parish Sheriff's Office,Pending investigation,2020,9,24,Whitehall,LA,LaSalle,Gunshot,No known charges,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Male,Black,Orange County Sheriff's Office,Pending investigation,2020,9,23,San Clemente,CA,Orange,Gunshot,No known charges,Unknown,33.4498,-117.6103,California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
30,Male,White,U.S. Marshals Service,Pending investigation,2020,9,22,Geneseo,IL,Henry,Gunshot,No known charges,No,41.4508,-90.154,Illinois,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Male,Hispanic,San Antonio Police Department,Pending investigation,2020,9,22,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
26,Male,Black,St. Louis County Police Department,Pending investigation,2020,9,21,Bellefontaine Neighbors,MO,St. Louis,Gunshot,No known charges,No,38.7529,-90.228,Missouri,0500000US29189,410842,5,2.8,7.7,7.8,11.9,17.7,12.6,16.1,7.8,10.6,70022,103189,33167,High
NA,Male,Hispanic,Border Patrol,Pending investigation,2020,9,21,Nogales,AZ,Santa Cruz,Gunshot,No known charges,No,31.3624,-110.9336,Arizona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Male,Black,Atlanta Police Department,Pending investigation,2020,9,21,Atlanta,GA,Fulton,Gunshot,No known charges,No,33.7627,-84.4224,Georgia,0500000US13121,439578,6.3,3.4,6.7,6.3,10.2,14.4,11.3,16.1,9.1,16.2,80013,125680,45667,Very High
40,Female,Unknown race,Oconee County Sheriff's Office,Pending investigation,2020,9,21,Athens,GA,Oconee,Gunshot,No known charges,No,33.9508,-83.3689,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Female,White,Redmond Police Department,Pending investigation,2020,9,20,Redmond,WA,King,Gunshot,No known charges,No,47.6762,-122.1169,Washington,0500000US53033,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
33,Male,Black,Brunswick Police Department,Pending investigation,2020,9,19,Brunswick,GA,Glynn,Gunshot,No known charges,No,31.145,-81.474,Georgia,0500000US13127,34614,5.8,3.8,13,9.7,8.3,22,10.4,16.7,4.9,5.5,59004,82009,23005,Low
32,Male,White,King County Sheriff's Office,Pending investigation,2020,9,19,Auburn,WA,King,Gunshot,No known charges,No,47.3039,-122.2108,Washington,0500000US53033,907761,4.1,2.3,4.6,4.9,7.9,13.4,11,19.3,11.6,21,102594,139525,36931,Very High
52,Male,Unknown race,Pickens County Sheriff's Office,Pending investigation,2020,9,19,Talking Rock,GA,Pickens,Gunshot,No known charges,No,34.5277,-84.4941,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Male,White,West Des Moines Police Department,Pending investigation,2020,9,18,West Des Moines,IA,Dallas,Gunshot,No known charges,Yes,41.5522,-93.7805,Iowa,0500000US19049,36878,1.1,2.2,5,3.7,8.4,17.4,15.6,23.2,10.3,13.1,94885,119627,24742,Very High
22,Male,White,Unified Police Department of Greater Salt Lake,Pending investigation,2020,9,18,Midvale,UT,Salt Lake,Gunshot,No known charges,No,40.6148,-111.8928,Utah,0500000US49035,384692,3.9,2.6,5.4,6.1,10,18.6,15.7,19.5,9.7,8.4,80119,101876,21757,Very High
46,Male,White,Lakewood Police Department,Pending investigation,2020,9,18,Lakewood,CO,Jefferson,Gunshot,No known charges,No,39.6977,-105.1168,Colorado,0500000US08059,236496,3.4,1.6,5,5.4,9.4,17.2,12.8,21.1,10.5,13.5,90040,115741,25701,Very High
41,Male,White,Ector County Sheriff's Office,Pending investigation,2020,9,18,West Odessa,TX,Ector,Gunshot,No known charges,No,31.8388,-102.4996,Texas,0500000US48135,53155,4,3.8,9.4,7.7,12.4,17,13,18.7,8,5.9,67205,84688,17483,High
NA,Male,Asian,Orange County Sheriff's Office,Pending investigation,2020,9,18,Stanton,CA,Orange,Gunshot,No known charges,No,33.8002,-117.9935,California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
39,Male,Unknown race,Redlands Police Department,Pending investigation,2020,9,18,Redlands,CA,San Bernardino,Gunshot,No known charges,No,34.0511,-117.1712,California,0500000US06071,644758,4.9,3.8,7.3,8.7,12,17.5,14.7,17.4,7.5,6.2,67903,86334,18431,High
37,Male,Hispanic,Collier County Sheriff's Office,Pending investigation,2020,9,17,Immokalee,FL,Collier,Gunshot,No known charges,Unknown,26.4253,-81.4251,Florida,0500000US12021,140578,4.8,3.8,5.8,8.7,10.6,15.5,13,17.3,7.4,13.1,76025,121643,45618,Very High
NA,Male,White,Denver Police Department,Pending investigation,2020,9,16,Denver,CO,Denver,Gunshot,No known charges,Unknown,39.7621,-104.8759,Colorado,0500000US08031,318445,5.5,3.6,6.6,6.9,9.8,17.1,12.4,17.9,8.5,11.7,75646,106715,31069,Very High
27,Male,White,Bountiful Police Department,Pending investigation,2020,9,15,Bountiful,UT,Davis,Gunshot,No known charges,Yes,40.8722,-111.8647,Utah,0500000US49011,109358,1.9,1.7,4.4,5,9.2,19.4,17.6,22.8,9.9,8.1,87427,104887,17460,Very High
55,Male,Black,San Antonio Police Department,Pending investigation,2020,9,15,San Antonio,TX,Bexar,Gunshot,No known charges,No,29.4658,-98.5253,Texas,0500000US48029,646352,6.6,3.9,9.1,9.5,13.1,19.7,12.8,14.1,6,5.3,58964,79424,20460,Low
27,Male,Hispanic,Lancaster Police Department,Pending investigation,2020,9,13,Lancaster,PA,Lancaster,Gunshot,No known charges,Yes,40.0421,-76.3012,Pennsylvania,0500000US42071,204701,4.7,3.3,7.4,7.1,13,19.9,16,16.5,5.7,6.5,67376,88819,21443,High
88,Male,Black,West Sacramento Police Department,Pending investigation,2020,9,12,West Sacramento,CA,Yolo,Gunshot,No known charges,Yes,38.5557,-121.5504,California,0500000US06113,76075,7.2,5,5.7,6.6,8.7,18.9,10.4,16.7,9.4,11.3,71417,107375,35958,High
