age,gender,race,police_dept,disposition,year,month,day,city,state,county,cause_of_death,criminal_charges,symptoms_of_mental_illness,lat,lng,state_name,id,estimate_households_total,estimate_households_total_less_than_10_000,estimate_households_total_10_000_to_14_999,estimate_households_total_15_000_to_24_999,estimate_households_total_25_000_to_34_999,estimate_households_total_35_000_to_49_999,estimate_households_total_50_000_to_74_999,estimate_households_total_75_000_to_99_999,estimate_households_total_100_000_to_149_999,estimate_households_total_150_000_to_199_999,estimate_households_total_200_000_or_more,estimate_households_median_income_dollars,estimate_households_mean_income_dollars,disparity_value,income_class
49,Male,White,Mesa Police Department,Unknown,2013,8,4,Mesa,AZ,Maricopa,Gunshot,No known charges,No,33.4017,-111.718,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
26,Male,Hispanic,Huntington Beach Police Department,Unknown,2013,8,3,Huntington Beach,CA,Orange,Gunshot,No known charges,No,33.696,-118.0025,California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
41,Male,White,Pima County Sheriff's Department,Unreported,2013,8,3,Tucson,AZ,Pima,Gunshot,No known charges,No,32.1545,-110.8782,Arizona,0500000US04019,410404,6.9,4.3,9.7,10,14.5,17.4,13.1,13.8,5.2,5,56169,76892,20723,Low
32,Male,White,Warr Acres Police Department,Unknown,2013,8,2,Oklahoma City,OK,Canadian,Gunshot,No known charges,No,35.4676,-97.5136,Oklahoma,0500000US40017,46005,3.6,1.9,5.4,9.6,11.7,18.6,18.8,18.7,6.5,5.2,73635,86545,12910,High
33,Male,Black,Broward County Sheriff's Office,"Charged with manslaughter, Charges Tossed under Stand Your Ground law",2013,7,31,Fort Lauderdale,FL,Broward,Gunshot,"Charged, Charges Dropped",No,26.1412,-80.1464,Florida,0500000US12011,705472,6.3,4.2,8.3,8.9,13.2,18,12.4,14.4,6.4,8,61502,88786,27284,Middle
19,Male,Hispanic,Conroe Police Department,"Charged, convicted of manslaughter, Sentenced to five years probation.",2013,7,31,Conroe,TX,Montgomery,Gunshot,"Charged, Convicted, Sentenced to 5 years probation.",No,30.3239,-95.4825,Texas,0500000US48339,209528,3,1.8,6.6,6.9,10.2,14.2,11.7,18.4,12,15.4,88695,120306,31611,Very High
42,Male,White,Greene County Combined SWAT Team,Justified,2013,7,31,Yellow Springs,OH,Greene,Gunshot,No known charges,Unknown,39.7986,-83.8905,Ohio,0500000US39057,66154,4.1,2.8,8.2,9.6,13.3,16.3,13.7,15.6,8.5,7.7,67394,90009,22615,High
37,Male,Black,Federal Bureau of Investigation,Justified,2013,7,30,New Orleans,LA,Orleans,Gunshot,No known charges,No,30.0687,-89.9288,Louisiana,0500000US22071,151753,16.5,5.8,11,8.9,10.2,15.1,8.6,10.9,5.3,7.7,45615,77676,32061,Very Low
22,Male,Hispanic,Santa Ana Police Department,Justified,2013,7,30,Santa Ana,CA,Orange,Gunshot,No known charges,Unknown,33.7366,-117.8819,California,0500000US06059,1044280,4.1,2.6,4.9,5.4,8.3,14.2,12.4,19.7,11.5,17,95934,127176,31242,Very High
19,Male,Unknown race,Avondale Police Department,Unknown,2013,7,30,Avondale,AZ,Maricopa,Gunshot,No known charges,No,33.3858,-112.3236,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
21,Male,White,Fife Police Department,Unreported,2013,7,30,Orting,WA,Pierce,Gunshot,No known charges,Yes,47.0966,-122.2111,Washington,0500000US53053,333657,3.5,3,5.4,5.8,11.4,17.9,15,21.3,8.9,7.7,79243,97051,17808,Very High
29,Male,White,Benton Police Department,Pending investigation/No Known Charges,2013,7,30,Benton,AR,Saline,Gunshot,No known charges,No,34.5775,-92.5712,Arkansas,0500000US05125,45455,3.2,6,7.6,7.8,12.4,20.5,12.9,19.6,7,3.1,66327,77398,11071,High
29,Male,Black,Hamilton County Sheriff's Office,Unreported,2013,7,29,Hamilton,AL,Marion,Gunshot,No known charges,Unknown,34.1346,-87.9755,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Male,Black,Winfield Police Department,Unreported,2013,7,29,Winfield,AL,Fayette,Gunshot,No known charges,No,33.9334,-87.7962,Alabama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Male,Unknown race,El Paso Police Department,Unreported,2013,7,29,El Paso,TX,El Paso,Gunshot,No known charges,No,31.8479,-106.4309,Texas,0500000US48141,269150,9.2,5.5,10.5,11.5,14.2,20.7,10.7,11.9,3.4,2.4,48903,62655,13752,Very Low
56,Male,Unknown race,Topeka Police Department,Justified,2013,7,29,Topeka,KS,Shawnee,Gunshot,No known charges,Unknown,39.0346,-95.6955,Kansas,0500000US20177,73172,5.3,2.6,8.1,10.3,15.7,20.6,13.3,14,5,5.2,59441,78471,19030,Low
40,Female,White,Lee County Sheriff's Office,Unreported,2013,7,29,Bonita Springs,FL,Lee,Gunshot,No known charges,No,26.3559,-81.7861,Florida,0500000US12071,286887,4.6,3.3,8.3,8.8,13.2,20.3,14.4,14.4,5.4,7.3,62240,88514,26274,Middle
24,Male,Black,Kansas City Police Department,Justified,2013,7,28,Kansas City,MO,Jackson,Gunshot,No known charges,No,39.1239,-94.5541,Missouri,0500000US29095,292571,7.3,3.9,10.2,8.8,13,18.7,12.8,15,5.7,4.5,57936,75915,17979,Low
32,Male,Black,Baton Rouge Police Department,Justified,2013,7,28,Baton Rouge,LA,East Baton Rouge,Gunshot,No known charges,No,30.4418,-91.131,Louisiana,0500000US22033,161536,8.7,5.6,9.7,9.6,11.4,16.8,12,12.7,6.4,7.1,56451,82783,26332,Low
39,Male,Hispanic,Chicago Police Department,Pending investigation/No Known Charges,2013,7,28,Chicago,IL,Cook,Gunshot,No known charges,No,41.8373,-87.6862,Illinois,0500000US17031,1985613,7,4,7.9,8.2,10.5,15.7,12.1,16.2,8,10.5,69429,100785,31356,High
44,Male,Hispanic,Phoenix Police Department,Unreported,2013,7,28,Phoenix,AZ,Maricopa,Taser,No known charges,Drug or alcohol use,33.5722,-112.0891,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
30,Male,Unknown race,Maricopa County Sheriff's Office,Unreported,2013,7,28,Gila Bend,AZ,Maricopa,Gunshot,No known charges,No,32.9662,-112.7155,Arizona,0500000US04013,1611722,5,2.8,7.2,7.5,12.8,18.6,13.7,16.8,7.3,8.3,68649,92992,24343,High
28,Male,White,Stark County Sheriff's Office,Justified,2013,7,28,Massillon,OH,Stark,Gunshot,No known charges,No,40.7838,-81.5254,Ohio,0500000US39151,154280,6.1,4.6,10.5,10.2,14.3,19.9,12.4,14.1,4.2,3.8,55499,71726,16227,Low
