id,county,state,total_pop,race,total,prop
0500000US01097,Mobile County, Alabama,413210,white,240449,58.190508458168964
0500000US01097,Mobile County, Alabama,413210,black,150159,36.33963360034849
0500000US01097,Mobile County, Alabama,413210,am_in_alask,2915,0.7054524333873817
0500000US01097,Mobile County, Alabama,413210,asian,7779,1.8825778659761379
0500000US01097,Mobile County, Alabama,413210,hawaii_pi,61,0.014762469446528401
0500000US01097,Mobile County, Alabama,413210,other,3449,0.8346845429684663
0500000US01101,Montgomery County, Alabama,226486,white,78586,34.69795042519184
0500000US01101,Montgomery County, Alabama,226486,black,132115,58.33252386460973
0500000US01101,Montgomery County, Alabama,226486,am_in_alask,816,0.3602871700679071
0500000US01101,Montgomery County, Alabama,226486,asian,7273,3.2112360145880983
0500000US01101,Montgomery County, Alabama,226486,hawaii_pi,0,0
0500000US01101,Montgomery County, Alabama,226486,other,3458,1.5268051888416945
0500000US01103,Morgan County, Alabama,NA,white,NA,NA
0500000US01103,Morgan County, Alabama,NA,black,NA,NA
0500000US01103,Morgan County, Alabama,NA,am_in_alask,NA,NA
0500000US01103,Morgan County, Alabama,NA,asian,NA,NA
0500000US01103,Morgan County, Alabama,NA,hawaii_pi,NA,NA
0500000US01103,Morgan County, Alabama,NA,other,NA,NA
0500000US01115,St. Clair County, Alabama,NA,white,NA,NA
0500000US01115,St. Clair County, Alabama,NA,black,NA,NA
0500000US01115,St. Clair County, Alabama,NA,am_in_alask,NA,NA
0500000US01115,St. Clair County, Alabama,NA,asian,NA,NA
0500000US01115,St. Clair County, Alabama,NA,hawaii_pi,NA,NA
0500000US01115,St. Clair County, Alabama,NA,other,NA,NA
0500000US01117,Shelby County, Alabama,217702,white,173941,79.89866882251886
0500000US01117,Shelby County, Alabama,217702,black,27252,12.518029232620739
0500000US01117,Shelby County, Alabama,217702,am_in_alask,1555,0.7142791522356249
0500000US01117,Shelby County, Alabama,217702,asian,4070,1.8695280704816675
0500000US01117,Shelby County, Alabama,217702,hawaii_pi,0,0
0500000US01117,Shelby County, Alabama,217702,other,4958,2.2774251040413045
0500000US01121,Talladega County, Alabama,79978,white,50787,63.501212833529216
0500000US01121,Talladega County, Alabama,79978,black,26486,33.11660706694341
0500000US01121,Talladega County, Alabama,79978,am_in_alask,385,0.4813823801545425
0500000US01121,Talladega County, Alabama,79978,asian,413,0.5163920078021457
0500000US01121,Talladega County, Alabama,79978,hawaii_pi,133,0.1662957313261147
0500000US01121,Talladega County, Alabama,79978,other,164,0.20505639050738952
0500000US01125,Tuscaloosa County, Alabama,209355,white,134432,64.2124620859306
0500000US01125,Tuscaloosa County, Alabama,209355,black,68660,32.795968570132075
0500000US01125,Tuscaloosa County, Alabama,209355,am_in_alask,87,0.04155620835423085
0500000US01125,Tuscaloosa County, Alabama,209355,asian,3491,1.6675025674094242
0500000US01125,Tuscaloosa County, Alabama,209355,hawaii_pi,125,0.05970719591125122
0500000US01125,Tuscaloosa County, Alabama,209355,other,1053,0.5029734183563803
0500000US01127,Walker County, Alabama,NA,white,NA,NA
0500000US01127,Walker County, Alabama,NA,black,NA,NA
0500000US01127,Walker County, Alabama,NA,am_in_alask,NA,NA
0500000US01127,Walker County, Alabama,NA,asian,NA,NA
0500000US01127,Walker County, Alabama,NA,hawaii_pi,NA,NA
0500000US01127,Walker County, Alabama,NA,other,NA,NA
0500000US02020,Anchorage Municipality, Alaska,288000,white,180389,62.63506944444445
0500000US02020,Anchorage Municipality, Alaska,288000,black,15207,5.280208333333333
0500000US02020,Anchorage Municipality, Alaska,288000,am_in_alask,25556,8.873611111111112
0500000US02020,Anchorage Municipality, Alaska,288000,asian,25976,9.019444444444444
0500000US02020,Anchorage Municipality, Alaska,288000,hawaii_pi,8041,2.792013888888889
0500000US02020,Anchorage Municipality, Alaska,288000,other,6490,2.2534722222222223
0500000US02090,Fairbanks North Star Borough, Alaska,96849,white,73145,75.5247860070832
0500000US02090,Fairbanks North Star Borough, Alaska,96849,black,3962,4.090904397567347
0500000US02090,Fairbanks North Star Borough, Alaska,96849,am_in_alask,8955,9.246352569463804
0500000US02090,Fairbanks North Star Borough, Alaska,96849,asian,3173,3.276234137678241
0500000US02090,Fairbanks North Star Borough, Alaska,96849,hawaii_pi,117,0.12080661648545674
0500000US02090,Fairbanks North Star Borough, Alaska,96849,other,1241,1.2813761628927505
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,white,88690,81.88003729793107
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,black,1699,1.568544180507215
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,am_in_alask,8489,7.837181605842111
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,asian,1681,1.5519262904253257
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,hawaii_pi,326,0.3009684537053279
0500000US02170,Matanuska-Susitna Borough, Alaska,108317,other,416,0.3840579041147742
0500000US04001,Apache County, Arizona,71887,white,15109,21.017708347823667
0500000US04001,Apache County, Arizona,71887,black,721,1.0029629835714384
0500000US04001,Apache County, Arizona,71887,am_in_alask,53480,74.39453586879408
0500000US04001,Apache County, Arizona,71887,asian,160,0.2225715358827048
0500000US04001,Apache County, Arizona,71887,hawaii_pi,15,0.020866081489003575
0500000US04001,Apache County, Arizona,71887,other,1127,1.5677382558738018
0500000US04003,Cochise County, Arizona,125922,white,108177,85.90794301234097
0500000US04003,Cochise County, Arizona,125922,black,6163,4.894299645812487
0500000US04003,Cochise County, Arizona,125922,am_in_alask,1006,0.7989072600498722
0500000US04003,Cochise County, Arizona,125922,asian,2795,2.2196280236972092
0500000US04003,Cochise County, Arizona,125922,hawaii_pi,129,0.10244437032448658
0500000US04003,Cochise County, Arizona,125922,other,2141,1.7002588904242308
0500000US04005,Coconino County, Arizona,143476,white,91649,63.877582313418266
0500000US04005,Coconino County, Arizona,143476,black,1364,0.9506816471047422
0500000US04005,Coconino County, Arizona,143476,am_in_alask,37187,25.91862053583875
0500000US04005,Coconino County, Arizona,143476,asian,2730,1.9027572555688754
0500000US04005,Coconino County, Arizona,143476,hawaii_pi,419,0.29203490479243915
0500000US04005,Coconino County, Arizona,143476,other,3897,2.716133708773593
0500000US04013,Maricopa County, Arizona,4485414,white,3547155,79.08199778214453
0500000US04013,Maricopa County, Arizona,4485414,black,266128,5.933186992326684
0500000US04013,Maricopa County, Arizona,4485414,am_in_alask,93358,2.0813686317472593
0500000US04013,Maricopa County, Arizona,4485414,asian,192301,4.287251968268704
0500000US04013,Maricopa County, Arizona,4485414,hawaii_pi,10045,0.22394811270486958
0500000US04013,Maricopa County, Arizona,4485414,other,213953,4.7699721809402655
0500000US04015,Mohave County, Arizona,212181,white,188756,88.95989744604842
0500000US04015,Mohave County, Arizona,212181,black,1496,0.7050584171061499
0500000US04015,Mohave County, Arizona,212181,am_in_alask,4358,2.0539068059816854
0500000US04015,Mohave County, Arizona,212181,asian,1923,0.906301695250753
0500000US04015,Mohave County, Arizona,212181,hawaii_pi,138,0.06503881120364217
0500000US04015,Mohave County, Arizona,212181,other,7608,3.5856179394007945
0500000US04017,Navajo County, Arizona,110924,white,51262,46.21362374238217
0500000US04017,Navajo County, Arizona,110924,black,1309,1.1800872669575566
0500000US04017,Navajo County, Arizona,110924,am_in_alask,50892,45.88006202444917
0500000US04017,Navajo County, Arizona,110924,asian,193,0.17399300421910496
0500000US04017,Navajo County, Arizona,110924,hawaii_pi,136,0.1226064692942916
0500000US04017,Navajo County, Arizona,110924,other,3817,3.441094803649346
0500000US04019,Pima County, Arizona,1047279,white,795391,75.94833850387528
0500000US04019,Pima County, Arizona,1047279,black,38343,3.661202029258679
0500000US04019,Pima County, Arizona,1047279,am_in_alask,40603,3.876999347833767
0500000US04019,Pima County, Arizona,1047279,asian,29276,2.7954346454001273
0500000US04019,Pima County, Arizona,1047279,hawaii_pi,1733,0.16547643942063195
0500000US04019,Pima County, Arizona,1047279,other,82611,7.888155878233021
0500000US04021,Pinal County, Arizona,462789,white,366928,79.28624059776702
0500000US04021,Pinal County, Arizona,462789,black,21264,4.594750523456694
0500000US04021,Pinal County, Arizona,462789,am_in_alask,25035,5.4095927085561675
0500000US04021,Pinal County, Arizona,462789,asian,6642,1.4352112949962077
0500000US04021,Pinal County, Arizona,462789,hawaii_pi,1197,0.25864919001964176
0500000US04021,Pinal County, Arizona,462789,other,21525,4.6511477152654885
0500000US04025,Yavapai County, Arizona,235099,white,209030,88.91147984466119
0500000US04025,Yavapai County, Arizona,235099,black,2020,0.8592125019672563
0500000US04025,Yavapai County, Arizona,235099,am_in_alask,4526,1.9251464276751495
0500000US04025,Yavapai County, Arizona,235099,asian,2543,1.0816719764865015
0500000US04025,Yavapai County, Arizona,235099,hawaii_pi,51,0.021692988911054492
0500000US04025,Yavapai County, Arizona,235099,other,12111,5.151446837289822
0500000US04027,Yuma County, Arizona,213787,white,189117,88.46047701684387
0500000US04027,Yuma County, Arizona,213787,black,3244,1.5173981579796714
0500000US04027,Yuma County, Arizona,213787,am_in_alask,2900,1.3564903385145026
0500000US04027,Yuma County, Arizona,213787,asian,2388,1.1169996304733216
0500000US04027,Yuma County, Arizona,213787,hawaii_pi,242,0.11319677997258953
0500000US04027,Yuma County, Arizona,213787,other,9376,4.38567359100413
0500000US05007,Benton County, Arkansas,279141,white,243511,87.23584138481985
0500000US05007,Benton County, Arkansas,279141,black,4371,1.5658753103270389
0500000US05007,Benton County, Arkansas,279141,am_in_alask,4314,1.5454555224778874
0500000US05007,Benton County, Arkansas,279141,asian,10818,3.8754607886337014
0500000US05007,Benton County, Arkansas,279141,hawaii_pi,1907,0.6831672882163494
0500000US05007,Benton County, Arkansas,279141,other,5019,1.7980160564016034
